test_data_pth,test_letter,train_data_pth,train_letter,similarity
./IMUData_1127/acc_data/2d/mode1_cut//S/_20241118223227_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,8.42671941925237
./IMUData_1127/acc_data/2d/mode1_cut//S/_20241118223227_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170645_imu_pose.csv,A,8.554284074874646
./IMUData_1127/acc_data/2d/mode1_cut//S/_20241118223227_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170652_imu_pose.csv,A,8.670465609080493
./IMUData_1127/acc_data/2d/mode1_cut//S/_20241118223227_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170657_imu_pose.csv,A,7.299562722175135
./IMUData_1127/acc_data/2d/mode1_cut//S/_20241118223227_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170702_imu_pose.csv,A,7.512317395579244
./IMUData_1127/acc_data/2d/mode1_cut//S/_20241118223227_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170708_imu_pose.csv,A,9.552706562982218
./IMUData_1127/acc_data/2d/mode1_cut//S/_20241118223227_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170716_imu_pose.csv,A,9.231913933296825
./IMUData_1127/acc_data/2d/mode1_cut//S/_20241118223227_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170724_imu_pose.csv,A,9.468670854501214
./IMUData_1127/acc_data/2d/mode1_cut//S/_20241118223227_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170733_imu_pose.csv,A,9.383036522434324
./IMUData_1127/acc_data/2d/mode1_cut//S/_20241118223227_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170740_imu_pose.csv,A,8.769355946519322
./IMUData_1127/acc_data/2d/mode1_cut//S/_20241118223227_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,13.300130835178622
./IMUData_1127/acc_data/2d/mode1_cut//S/_20241118223227_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171251_imu_pose.csv,B,12.110368016890734
./IMUData_1127/acc_data/2d/mode1_cut//S/_20241118223227_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171302_imu_pose.csv,B,12.741043629965006
./IMUData_1127/acc_data/2d/mode1_cut//S/_20241118223227_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171313_imu_pose.csv,B,13.852283030877132
./IMUData_1127/acc_data/2d/mode1_cut//S/_20241118223227_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171325_imu_pose.csv,B,15.31250158852414
./IMUData_1127/acc_data/2d/mode1_cut//S/_20241118223227_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171340_imu_pose.csv,B,13.287416622202
./IMUData_1127/acc_data/2d/mode1_cut//S/_20241118223227_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171353_imu_pose.csv,B,13.721823937728507
./IMUData_1127/acc_data/2d/mode1_cut//S/_20241118223227_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171407_imu_pose.csv,B,12.743175698922713
