test_data_pth,test_letter,train_data_pth,train_letter,similarity
./IMUData_1127/acc_data/2d/mode1_cut//V/_20241126125654_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,9.763934259589481
./IMUData_1127/acc_data/2d/mode1_cut//V/_20241126125654_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170645_imu_pose.csv,A,9.647763223762869
./IMUData_1127/acc_data/2d/mode1_cut//V/_20241126125654_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170652_imu_pose.csv,A,8.24774094899364
./IMUData_1127/acc_data/2d/mode1_cut//V/_20241126125654_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170657_imu_pose.csv,A,7.41451453627154
./IMUData_1127/acc_data/2d/mode1_cut//V/_20241126125654_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170702_imu_pose.csv,A,8.111051307321729
./IMUData_1127/acc_data/2d/mode1_cut//V/_20241126125654_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170708_imu_pose.csv,A,8.673010404410261
./IMUData_1127/acc_data/2d/mode1_cut//V/_20241126125654_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170716_imu_pose.csv,A,9.442401117940465
./IMUData_1127/acc_data/2d/mode1_cut//V/_20241126125654_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170724_imu_pose.csv,A,9.932648184404535
./IMUData_1127/acc_data/2d/mode1_cut//V/_20241126125654_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170733_imu_pose.csv,A,10.742234716050895
./IMUData_1127/acc_data/2d/mode1_cut//V/_20241126125654_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170740_imu_pose.csv,A,9.495967378128539
./IMUData_1127/acc_data/2d/mode1_cut//V/_20241126125654_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,17.981071804080642
./IMUData_1127/acc_data/2d/mode1_cut//V/_20241126125654_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171251_imu_pose.csv,B,17.528784281250758
./IMUData_1127/acc_data/2d/mode1_cut//V/_20241126125654_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171302_imu_pose.csv,B,18.829470168216183
./IMUData_1127/acc_data/2d/mode1_cut//V/_20241126125654_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171313_imu_pose.csv,B,19.20084956673853
./IMUData_1127/acc_data/2d/mode1_cut//V/_20241126125654_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171325_imu_pose.csv,B,21.201353592845173
./IMUData_1127/acc_data/2d/mode1_cut//V/_20241126125654_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171340_imu_pose.csv,B,19.06464498287313
./IMUData_1127/acc_data/2d/mode1_cut//V/_20241126125654_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171353_imu_pose.csv,B,18.976714255491355
./IMUData_1127/acc_data/2d/mode1_cut//V/_20241126125654_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171407_imu_pose.csv,B,16.864338386283958
./IMUData_1127/acc_data/2d/mode1_cut//V/_20241126125654_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171440_imu_pose.csv,B,12.470470397369349
./IMUData_1127/acc_data/2d/mode1_cut//V/_20241126125654_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171451_imu_pose.csv,B,14.951128366836743
./IMUData_1127/acc_data/2d/mode1_cut//V/_20241126125654_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172002_imu_pose.csv,C,8.765173167054622
./IMUData_1127/acc_data/2d/mode1_cut//V/_20241126125654_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172007_imu_pose.csv,C,8.276424095397898
./IMUData_1127/acc_data/2d/mode1_cut//V/_20241126125654_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172018_imu_pose.csv,C,9.691847200476792
./IMUData_1127/acc_data/2d/mode1_cut//V/_20241126125654_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172025_imu_pose.csv,C,8.27126577637549
./IMUData_1127/acc_data/2d/mode1_cut//V/_20241126125654_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172031_imu_pose.csv,C,8.354580263687648
./IMUData_1127/acc_data/2d/mode1_cut//V/_20241126125654_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172039_imu_pose.csv,C,8.341381465441083
./IMUData_1127/acc_data/2d/mode1_cut//V/_20241126125654_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172048_imu_pose.csv,C,8.741744488243246
./IMUData_1127/acc_data/2d/mode1_cut//V/_20241126125654_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172057_imu_pose.csv,C,8.470773688207855
./IMUData_1127/acc_data/2d/mode1_cut//V/_20241126125654_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172108_imu_pose.csv,C,8.065270149819613
