test_data_pth,test_letter,train_data_pth,train_letter,similarity
./IMUData_1127/acc_data/2d/mode1_cut//W/_20241126130131_imu_pose.csv,W,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,7.629393955691275
./IMUData_1127/acc_data/2d/mode1_cut//W/_20241126130131_imu_pose.csv,W,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170645_imu_pose.csv,A,8.520277448959334
./IMUData_1127/acc_data/2d/mode1_cut//W/_20241126130131_imu_pose.csv,W,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170652_imu_pose.csv,A,8.23604314174355
./IMUData_1127/acc_data/2d/mode1_cut//W/_20241126130131_imu_pose.csv,W,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170657_imu_pose.csv,A,9.794283371715629
./IMUData_1127/acc_data/2d/mode1_cut//W/_20241126130131_imu_pose.csv,W,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170702_imu_pose.csv,A,10.629678842518173
./IMUData_1127/acc_data/2d/mode1_cut//W/_20241126130131_imu_pose.csv,W,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170708_imu_pose.csv,A,8.504910224886475
./IMUData_1127/acc_data/2d/mode1_cut//W/_20241126130131_imu_pose.csv,W,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170716_imu_pose.csv,A,9.237343079342352
./IMUData_1127/acc_data/2d/mode1_cut//W/_20241126130131_imu_pose.csv,W,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170724_imu_pose.csv,A,8.48089041868114
./IMUData_1127/acc_data/2d/mode1_cut//W/_20241126130131_imu_pose.csv,W,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170733_imu_pose.csv,A,8.146050034055689
./IMUData_1127/acc_data/2d/mode1_cut//W/_20241126130131_imu_pose.csv,W,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170740_imu_pose.csv,A,7.878383155966418
./IMUData_1127/acc_data/2d/mode1_cut//W/_20241126130131_imu_pose.csv,W,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,15.488800332687973
./IMUData_1127/acc_data/2d/mode1_cut//W/_20241126130131_imu_pose.csv,W,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171251_imu_pose.csv,B,14.433351278653745
./IMUData_1127/acc_data/2d/mode1_cut//W/_20241126130131_imu_pose.csv,W,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171302_imu_pose.csv,B,15.738900086049247
./IMUData_1127/acc_data/2d/mode1_cut//W/_20241126130131_imu_pose.csv,W,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171313_imu_pose.csv,B,15.448103127925307
./IMUData_1127/acc_data/2d/mode1_cut//W/_20241126130131_imu_pose.csv,W,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171325_imu_pose.csv,B,17.412375846341643
./IMUData_1127/acc_data/2d/mode1_cut//W/_20241126130131_imu_pose.csv,W,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171340_imu_pose.csv,B,17.244738092244205
./IMUData_1127/acc_data/2d/mode1_cut//W/_20241126130131_imu_pose.csv,W,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171353_imu_pose.csv,B,15.29586388754525
./IMUData_1127/acc_data/2d/mode1_cut//W/_20241126130131_imu_pose.csv,W,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171407_imu_pose.csv,B,14.345184953569031
./IMUData_1127/acc_data/2d/mode1_cut//W/_20241126130131_imu_pose.csv,W,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171440_imu_pose.csv,B,11.602971478890334
./IMUData_1127/acc_data/2d/mode1_cut//W/_20241126130131_imu_pose.csv,W,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171451_imu_pose.csv,B,13.450456860604701
./IMUData_1127/acc_data/2d/mode1_cut//W/_20241126130131_imu_pose.csv,W,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172002_imu_pose.csv,C,10.611704033259763
./IMUData_1127/acc_data/2d/mode1_cut//W/_20241126130131_imu_pose.csv,W,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172007_imu_pose.csv,C,10.124059339332632
./IMUData_1127/acc_data/2d/mode1_cut//W/_20241126130131_imu_pose.csv,W,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172018_imu_pose.csv,C,11.8849896630958
./IMUData_1127/acc_data/2d/mode1_cut//W/_20241126130131_imu_pose.csv,W,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172025_imu_pose.csv,C,10.37245883253971
./IMUData_1127/acc_data/2d/mode1_cut//W/_20241126130131_imu_pose.csv,W,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172031_imu_pose.csv,C,10.344895494510657
./IMUData_1127/acc_data/2d/mode1_cut//W/_20241126130131_imu_pose.csv,W,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172039_imu_pose.csv,C,11.053451138453013
./IMUData_1127/acc_data/2d/mode1_cut//W/_20241126130131_imu_pose.csv,W,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172048_imu_pose.csv,C,11.32736933946139
./IMUData_1127/acc_data/2d/mode1_cut//W/_20241126130131_imu_pose.csv,W,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172057_imu_pose.csv,C,11.202165897971236
./IMUData_1127/acc_data/2d/mode1_cut//W/_20241126130131_imu_pose.csv,W,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172108_imu_pose.csv,C,10.59971247489839
./IMUData_1127/acc_data/2d/mode1_cut//W/_20241126130131_imu_pose.csv,W,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172122_imu_pose.csv,C,11.315052206935107
./IMUData_1127/acc_data/2d/mode1_cut//W/_20241126130131_imu_pose.csv,W,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172640_imu_pose.csv,D,10.21192372082205
./IMUData_1127/acc_data/2d/mode1_cut//W/_20241126130131_imu_pose.csv,W,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172648_imu_pose.csv,D,9.346203027218852
./IMUData_1127/acc_data/2d/mode1_cut//W/_20241126130131_imu_pose.csv,W,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172702_imu_pose.csv,D,9.382366343435804
./IMUData_1127/acc_data/2d/mode1_cut//W/_20241126130131_imu_pose.csv,W,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172716_imu_pose.csv,D,9.325809877967695
./IMUData_1127/acc_data/2d/mode1_cut//W/_20241126130131_imu_pose.csv,W,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172724_imu_pose.csv,D,8.967645124290375
./IMUData_1127/acc_data/2d/mode1_cut//W/_20241126130131_imu_pose.csv,W,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172736_imu_pose.csv,D,9.094342938816117
./IMUData_1127/acc_data/2d/mode1_cut//W/_20241126130131_imu_pose.csv,W,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172743_imu_pose.csv,D,9.136966757243133
./IMUData_1127/acc_data/2d/mode1_cut//W/_20241126130131_imu_pose.csv,W,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172756_imu_pose.csv,D,9.341319105169466
./IMUData_1127/acc_data/2d/mode1_cut//W/_20241126130131_imu_pose.csv,W,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172812_imu_pose.csv,D,8.898931875365664
./IMUData_1127/acc_data/2d/mode1_cut//W/_20241126130131_imu_pose.csv,W,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172832_imu_pose.csv,D,9.457763154053062
./IMUData_1127/acc_data/2d/mode1_cut//W/_20241126130131_imu_pose.csv,W,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118172959_imu_pose.csv,E,15.05043816094514
./IMUData_1127/acc_data/2d/mode1_cut//W/_20241126130131_imu_pose.csv,W,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173010_imu_pose.csv,E,14.950514878087665
