test_data_pth,test_letter,train_data_pth,train_letter,similarity
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,11.988651116419883
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170645_imu_pose.csv,A,12.72201149398252
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170652_imu_pose.csv,A,12.223209372596513
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170657_imu_pose.csv,A,12.925853633105001
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170702_imu_pose.csv,A,13.904966446881788
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170708_imu_pose.csv,A,11.290273397678838
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170716_imu_pose.csv,A,12.502068657696363
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170724_imu_pose.csv,A,12.633425828352571
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170733_imu_pose.csv,A,13.273156420917433
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170740_imu_pose.csv,A,12.96867839646589
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,17.117496235222443
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171251_imu_pose.csv,B,17.319174306748838
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171302_imu_pose.csv,B,19.051101595045417
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171313_imu_pose.csv,B,18.95789863471798
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171325_imu_pose.csv,B,20.47113942713671
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171340_imu_pose.csv,B,18.504095276118424
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171353_imu_pose.csv,B,18.6416509893448
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171407_imu_pose.csv,B,16.912885701104038
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171440_imu_pose.csv,B,14.784433207211961
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171451_imu_pose.csv,B,14.852551739670167
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172002_imu_pose.csv,C,14.438732433551465
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172007_imu_pose.csv,C,13.596518095885813
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172018_imu_pose.csv,C,15.282213044768538
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172025_imu_pose.csv,C,12.760191942663225
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172031_imu_pose.csv,C,13.99754091069827
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172039_imu_pose.csv,C,14.188568269593626
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172048_imu_pose.csv,C,14.555392943896154
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172057_imu_pose.csv,C,14.00248765379073
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172108_imu_pose.csv,C,13.23725888776527
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172122_imu_pose.csv,C,13.692316387140915
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172640_imu_pose.csv,D,11.099133158890794
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172648_imu_pose.csv,D,10.591596348056628
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172702_imu_pose.csv,D,10.686228345729221
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172716_imu_pose.csv,D,11.2321038319155
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172724_imu_pose.csv,D,10.212885563003589
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172736_imu_pose.csv,D,10.797734821460743
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172743_imu_pose.csv,D,10.536852679206332
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172756_imu_pose.csv,D,10.213678672601441
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172812_imu_pose.csv,D,10.404306910644358
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172832_imu_pose.csv,D,10.148506996168942
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118172959_imu_pose.csv,E,13.119553754586128
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173010_imu_pose.csv,E,14.185430472852943
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173021_imu_pose.csv,E,13.68175040959458
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173035_imu_pose.csv,E,16.310985993183888
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173053_imu_pose.csv,E,16.599672429456337
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173106_imu_pose.csv,E,14.848502285433932
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173115_imu_pose.csv,E,15.978325431063793
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173127_imu_pose.csv,E,13.301511377792691
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173139_imu_pose.csv,E,18.55846761627105
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173158_imu_pose.csv,E,18.252495425700232
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,16.121908614955395
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173349_imu_pose.csv,F,15.134919025916824
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173355_imu_pose.csv,F,12.556435590463336
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173403_imu_pose.csv,F,13.551514009758895
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173409_imu_pose.csv,F,12.798358154049694
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173416_imu_pose.csv,F,13.580639851015604
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173423_imu_pose.csv,F,12.169850559935051
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173430_imu_pose.csv,F,13.198631644243351
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173440_imu_pose.csv,F,11.854239039351816
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173449_imu_pose.csv,F,12.587103346346732
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//G/_20241118173808_imu_pose.csv,G,14.603960419163405
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//G/_20241118173813_imu_pose.csv,G,14.140003339382266
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//G/_20241118173818_imu_pose.csv,G,14.308138376782324
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//G/_20241118173823_imu_pose.csv,G,12.329844820579224
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//G/_20241118173827_imu_pose.csv,G,12.912718624191356
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//G/_20241118173833_imu_pose.csv,G,11.38469154510875
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//G/_20241118173839_imu_pose.csv,G,11.404106102058472
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//G/_20241118173845_imu_pose.csv,G,11.56641720459453
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//G/_20241118173853_imu_pose.csv,G,11.305788581473678
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//G/_20241118173902_imu_pose.csv,G,11.920707242299132
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//H/_20241118173944_imu_pose.csv,H,12.010972362206545
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//H/_20241118173952_imu_pose.csv,H,11.001350962347516
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//H/_20241118173958_imu_pose.csv,H,12.2593142375485
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//H/_20241118174004_imu_pose.csv,H,10.764824535884308
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//H/_20241118174013_imu_pose.csv,H,11.0621943217407
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//H/_20241118174018_imu_pose.csv,H,11.178723594782326
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//H/_20241118174024_imu_pose.csv,H,10.431542681312648
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//H/_20241118174030_imu_pose.csv,H,9.855878671855523
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//H/_20241118174037_imu_pose.csv,H,8.81478548871489
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//H/_20241118174045_imu_pose.csv,H,9.37106048898187
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//I/_20241118174141_imu_pose.csv,I,14.060717799403955
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//I/_20241118174143_imu_pose.csv,I,14.507049117521248
./IMUData_1127/acc_data/2d/mode1_cut//X/_20241126130341_imu_pose.csv,X,./IMUData_1127/acc_data/2d/mode1_cut//I/_20241118174144_imu_pose.csv,I,14.208633495982605
