Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,364304,1038223909,1731914405950,1731914405950,-0.559,-8.855,-3.079
Accel,364305,1038233779,1731914405959,1731914405959,-0.559,-8.855,-3.109
Accel,364306,1038243649,1731914405969,1731914405969,-0.618,-8.983,-3.109
Accel,364307,1038253519,1731914405979,1731914405979,-0.559,-9.091,-3.099
Accel,364308,1038263391,1731914405989,1731914405989,-0.579,-9.091,-3.040
Accel,364309,1038273261,1731914405999,1731914405999,-0.549,-9.159,-2.991
Accel,364310,1038283131,1731914406009,1731914406009,-0.510,-9.091,-3.011
Accel,364311,1038293001,1731914406018,1731914406019,-0.618,-8.983,-3.040
Accel,364312,1038302871,1731914406029,1731914406029,-0.657,-8.924,-3.020
Accel,364313,1038312741,1731914406038,1731914406038,-0.686,-8.924,-3.079
Accel,364314,1038322611,1731914406048,1731914406048,-0.706,-8.934,-3.168
Accel,364315,1038332481,1731914406058,1731914406058,-0.765,-8.983,-3.168
Accel,364316,1038342351,1731914406068,1731914406068,-0.775,-8.846,-3.197
Accel,364317,1038352221,1731914406078,1731914406078,-0.843,-8.846,-3.168
Accel,364318,1038362091,1731914406088,1731914406088,-0.843,-8.816,-3.177
Accel,364319,1038371961,1731914406098,1731914406098,-0.853,-8.846,-3.217
Accel,364369,1038865457,1731914406591,1731914406591,0.294,-8.493,-0.333
Accel,364370,1038875327,1731914406601,1731914406601,-0.059,-7.610,-0.382
Accel,364371,1038885197,1731914406611,1731914406611,-0.039,-6.943,-1.010
Accel,364372,1038895067,1731914406620,1731914406621,0.402,-6.855,-1.481
Accel,364373,1038904937,1731914406631,1731914406631,0.451,-6.943,-1.638
Accel,364374,1038914805,1731914406640,1731914406640,0.843,-7.198,-1.746
Accel,364375,1038924675,1731914406650,1731914406650,1.265,-6.865,-1.746
Accel,364376,1038934545,1731914406660,1731914406660,1.206,-6.345,-1.638
Accel,364377,1038944413,1731914406670,1731914406670,0.912,-5.609,-1.765
Accel,364378,1038954283,1731914406680,1731914406680,0.490,-4.825,-2.108
Accel,364379,1038964153,1731914406690,1731914406690,-0.167,-4.197,-2.805
Accel,364380,1038974021,1731914406700,1731914406700,-0.912,-3.903,-3.442
Accel,364381,1038983891,1731914406710,1731914406710,-1.196,-3.423,-3.854
Accel,364382,1038993761,1731914406720,1731914406720,-0.686,-4.060,-3.452
Accel,364383,1039003629,1731914406729,1731914406730,0.226,-4.648,-2.746
Accel,364384,1039013499,1731914406739,1731914406740,-0.177,-4.491,-2.393
Accel,364385,1039023367,1731914406749,1731914406749,-0.510,-4.786,-2.206
Accel,364386,1039033237,1731914406759,1731914406759,-0.255,-4.992,-1.981
Accel,364387,1039043107,1731914406769,1731914406769,-0.363,-5.305,-1.402
Accel,364388,1039052977,1731914406779,1731914406779,-0.628,-5.227,-1.177
Accel,364389,1039062847,1731914406789,1731914406789,-1.226,-5.168,-1.304
Accel,364390,1039072717,1731914406798,1731914406799,-1.687,-5.070,-1.549
Accel,364391,1039082585,1731914406808,1731914406809,-1.755,-4.805,-1.716
Accel,364392,1039092453,1731914406818,1731914406819,-1.775,-4.648,-1.226
Accel,364393,1039102323,1731914406828,1731914406828,-1.971,-4.286,-0.490
Accel,364394,1039112193,1731914406838,1731914406838,-2.148,-4.148,-0.167
Accel,364395,1039122061,1731914406848,1731914406848,-1.932,-4.266,0.137
Accel,364396,1039131931,1731914406858,1731914406858,-1.373,-4.648,0.794
Accel,364397,1039141801,1731914406868,1731914406868,-0.883,-4.913,1.402
Accel,364398,1039151669,1731914406878,1731914406878,-0.579,-5.178,1.755
Accel,364399,1039161539,1731914406887,1731914406888,-0.363,-5.394,2.069
Accel,364400,1039171407,1731914406897,1731914406897,-0.294,-5.129,2.422
Accel,364401,1039181277,1731914406907,1731914406907,-0.235,-4.737,2.805
Accel,364402,1039191147,1731914406917,1731914406917,0.088,-4.678,2.942
Accel,364403,1039201017,1731914406927,1731914406927,0.441,-4.737,2.942
Accel,364404,1039210887,1731914406937,1731914406937,0.598,-4.894,2.922
Accel,364405,1039220755,1731914406946,1731914406947,0.922,-5.305,2.903
Accel,364406,1039230625,1731914406956,1731914406956,1.402,-5.619,2.834
Accel,364407,1039240495,1731914406966,1731914406966,1.893,-5.806,2.736
Accel,364408,1039250363,1731914406976,1731914406976,2.412,-5.953,2.697
Accel,364409,1039260233,1731914406986,1731914406986,2.815,-6.168,2.746
Accel,364410,1039270101,1731914406996,1731914406996,3.177,-6.051,2.746
Accel,364411,1039279971,1731914407006,1731914407006,3.373,-5.992,2.834
Accel,364412,1039289843,1731914407015,1731914407016,3.628,-5.845,2.805
Accel,364413,1039299713,1731914407025,1731914407025,3.717,-5.619,2.511
Accel,364414,1039309583,1731914407035,1731914407035,3.579,-5.394,1.991
Accel,364415,1039319451,1731914407045,1731914407045,3.246,-5.227,1.412
Accel,364416,1039329321,1731914407055,1731914407055,2.746,-4.982,0.814
Accel,364417,1039339189,1731914407065,1731914407065,2.040,-4.560,0.363
Accel,364418,1039349057,1731914407075,1731914407075,1.304,-4.099,-0.069
Accel,364419,1039358927,1731914407085,1731914407085,0.657,-3.766,-0.745
Accel,364420,1039368797,1731914407095,1731914407095,0.275,-3.854,-1.461
Accel,364421,1039378667,1731914407105,1731914407105,0.343,-4.266,-1.991
Accel,364422,1039388537,1731914407114,1731914407114,0.735,-4.756,-2.491
Accel,364423,1039398405,1731914407124,1731914407124,1.265,-5.482,-3.060
Accel,364424,1039408273,1731914407134,1731914407134,1.491,-6.443,-3.677
Accel,364425,1039418143,1731914407144,1731914407144,1.206,-7.473,-3.903
Accel,364426,1039428011,1731914407154,1731914407154,0.814,-7.894,-3.923
Accel,364427,1039437881,1731914407163,1731914407164,0.078,-7.561,-4.266
Accel,364428,1039447749,1731914407173,1731914407173,-0.686,-7.571,-4.540
Accel,364429,1039457617,1731914407183,1731914407183,-0.559,-7.836,-4.717
Accel,364430,1039467487,1731914407193,1731914407194,-0.333,-7.983,-4.952
Accel,364431,1039477357,1731914407203,1731914407203,-0.294,-8.257,-4.992
Accel,364432,1039487227,1731914407213,1731914407213,-0.284,-8.983,-5.403
Accel,364433,1039497099,1731914407223,1731914407223,-0.510,-10.434,-5.658
Accel,364434,1039506969,1731914407233,1731914407233,-0.549,-11.562,-5.443
Accel,364435,1039516839,1731914407243,1731914407243,-0.382,-12.288,-4.933
Accel,364436,1039526709,1731914407253,1731914407253,0.039,-12.513,-4.580
Accel,364437,1039536579,1731914407262,1731914407263,0.441,-12.739,-4.423
Accel,364438,1039546447,1731914407272,1731914407273,0.206,-11.542,-4.629
Accel,364439,1039556317,1731914407282,1731914407282,0.167,-11.788,-4.903
Accel,364440,1039566185,1731914407292,1731914407292,0.157,-12.445,-5.354
Accel,364441,1039576053,1731914407302,1731914407302,-0.696,-12.690,-5.531
Accel,364442,1039585923,1731914407312,1731914407312,-1.638,-12.768,-5.492
Accel,364443,1039595791,1731914407322,1731914407322,-2.334,-12.062,-5.256
Accel,364444,1039605661,1731914407331,1731914407331,-2.716,-11.366,-4.874
Accel,364445,1039615529,1731914407341,1731914407342,-2.275,-11.013,-4.717
Accel,364446,1039625399,1731914407351,1731914407351,-1.746,-11.062,-4.874
Accel,364447,1039635267,1731914407361,1731914407361,-1.304,-11.591,-5.266
Accel,364448,1039645137,1731914407371,1731914407371,-0.941,-12.111,-5.776
Accel,364449,1039655007,1731914407381,1731914407381,-1.128,-11.768,-5.580
Accel,364450,1039664875,1731914407390,1731914407391,-0.981,-12.337,-4.874
Accel,364451,1039674745,1731914407400,1731914407400,-0.883,-13.023,-4.992
Accel,364452,1039684615,1731914407410,1731914407410,-1.500,-12.190,-5.266
Accel,364453,1039694483,1731914407420,1731914407420,-1.814,-11.287,-5.256
Accel,364454,1039704353,1731914407430,1731914407430,-1.716,-10.993,-5.256
Accel,364455,1039714221,1731914407440,1731914407440,-1.569,-11.032,-5.531
Accel,364456,1039724091,1731914407450,1731914407450,-1.648,-10.885,-5.688
Accel,364457,1039733959,1731914407459,1731914407460,-1.589,-10.719,-5.707
Accel,364458,1039743829,1731914407469,1731914407470,-1.471,-10.768,-5.452
Accel,364459,1039753697,1731914407479,1731914407479,-1.324,-10.915,-5.168
Accel,364460,1039763565,1731914407489,1731914407489,-1.049,-11.317,-4.825
Accel,364461,1039773435,1731914407499,1731914407499,-0.834,-11.317,-4.599
Accel,364462,1039783303,1731914407509,1731914407509,-0.843,-11.121,-4.560
Accel,364463,1039793171,1731914407519,1731914407519,-0.843,-10.964,-4.403
Accel,364464,1039803039,1731914407528,1731914407529,-0.843,-10.621,-4.217
Accel,364465,1039812907,1731914407538,1731914407538,-1.069,-10.032,-4.403
Accel,364466,1039822775,1731914407548,1731914407548,-1.324,-9.993,-4.629
Accel,364467,1039832645,1731914407558,1731914407558,-1.471,-10.493,-4.854
Accel,364468,1039842513,1731914407568,1731914407568,-1.667,-11.042,-4.992
Accel,364469,1039852381,1731914407578,1731914407578,-1.648,-11.268,-5.129
Accel,364470,1039862249,1731914407588,1731914407588,-1.824,-11.317,-5.394
Accel,364471,1039872119,1731914407598,1731914407598,-2.118,-11.268,-5.815
Accel,364472,1039881987,1731914407608,1731914407608,-2.324,-11.493,-6.168
Accel,364473,1039891855,1731914407618,1731914407618,-2.511,-11.984,-6.580
Accel,364474,1039901725,1731914407628,1731914407628,-2.854,-12.366,-7.071
Accel,364475,1039911593,1731914407637,1731914407638,-3.305,-12.572,-7.492
Accel,364476,1039921463,1731914407647,1731914407647,-3.785,-12.572,-7.786
Accel,364477,1039931331,1731914407657,1731914407657,-4.266,-12.523,-7.806
Accel,364478,1039941199,1731914407667,1731914407667,-4.697,-12.062,-7.669
Accel,364479,1039951069,1731914407677,1731914407677,-4.854,-11.542,-7.424
Accel,364480,1039960937,1731914407687,1731914407687,-4.835,-11.042,-7.228
Accel,364481,1039970807,1731914407697,1731914407697,-4.756,-10.944,-7.198
Accel,364482,1039980675,1731914407706,1731914407706,-4.825,-10.768,-7.453
Accel,364483,1039990545,1731914407716,1731914407716,-5.217,-10.611,-7.639
Accel,364484,1040000415,1731914407726,1731914407726,-5.413,-10.317,-7.718
Accel,364485,1040010285,1731914407736,1731914407736,-5.335,-9.915,-7.581
Accel,364486,1040020153,1731914407746,1731914407746,-4.903,-9.571,-7.159
Accel,364487,1040030023,1731914407756,1731914407756,-4.246,-9.591,-6.816
Accel,364488,1040039891,1731914407765,1731914407766,-3.697,-10.013,-6.806
Accel,364489,1040049761,1731914407776,1731914407776,-3.472,-10.317,-6.953
Accel,364490,1040059631,1731914407785,1731914407785,-3.246,-10.317,-7.061
Accel,364491,1040069501,1731914407795,1731914407796,-3.079,-10.111,-6.943
Accel,364492,1040079369,1731914407805,1731914407805,-2.883,-9.718,-6.629
Accel,364493,1040089239,1731914407815,1731914407815,-2.579,-9.208,-6.276
Accel,364494,1040099107,1731914407825,1731914407825,-2.295,-8.571,-5.953
Accel,364495,1040108977,1731914407835,1731914407835,-1.922,-8.522,-5.570
Accel,364496,1040118845,1731914407844,1731914407844,-1.589,-8.522,-5.354
Accel,364497,1040128713,1731914407854,1731914407854,-1.491,-8.179,-5.276
Accel,364498,1040138581,1731914407864,1731914407864,-1.275,-7.630,-5.345
Accel,364499,1040148451,1731914407874,1731914407874,-0.951,-7.502,-5.031
Accel,364500,1040158319,1731914407884,1731914407884,-0.549,-7.355,-4.668
Accel,364501,1040168189,1731914407894,1731914407894,-0.275,-7.090,-4.442
Accel,364502,1040178057,1731914407904,1731914407904,0.186,-7.041,-4.168
Accel,364503,1040187927,1731914407914,1731914407914,0.618,-7.129,-3.874
Accel,364504,1040197797,1731914407923,1731914407923,0.941,-7.080,-3.697
Accel,364505,1040207667,1731914407933,1731914407933,1.334,-7.178,-3.530
