Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,375460,1148332327,1731914516048,1731914516049,-0.490,-9.758,3.168
Accel,375461,1148342195,1731914516058,1731914516058,-0.618,-9.483,3.246
Accel,375462,1148352065,1731914516068,1731914516068,-0.667,-9.257,3.373
Accel,375463,1148361933,1731914516078,1731914516078,-0.559,-9.248,3.511
Accel,375464,1148371803,1731914516088,1731914516088,-0.471,-9.385,3.560
Accel,375465,1148381673,1731914516098,1731914516098,-0.402,-9.571,3.540
Accel,375466,1148391543,1731914516108,1731914516108,-0.343,-9.620,3.491
Accel,375467,1148401411,1731914516117,1731914516117,-0.343,-9.630,3.511
Accel,375468,1148411281,1731914516127,1731914516127,-0.343,-9.571,3.511
Accel,375469,1148421151,1731914516137,1731914516137,-0.314,-9.434,3.491
Accel,375470,1148431019,1731914516147,1731914516147,-0.314,-9.356,3.579
Accel,375471,1148440889,1731914516157,1731914516157,-0.314,-9.257,3.677
Accel,375472,1148450757,1731914516167,1731914516167,-0.314,-9.257,3.805
Accel,375473,1148460627,1731914516177,1731914516177,-0.333,-9.257,3.923
Accel,375474,1148470495,1731914516187,1731914516187,-0.422,-9.071,3.972
Accel,375475,1148480363,1731914516196,1731914516196,-0.490,-8.846,3.942
Accel,375524,1148963933,1731914516680,1731914516680,2.991,-16.966,-2.540
Accel,375525,1148973801,1731914516690,1731914516690,3.246,-18.368,-2.059
Accel,375526,1148983671,1731914516700,1731914516700,3.511,-18.897,-1.628
Accel,375527,1148993539,1731914516710,1731914516710,3.677,-18.770,-1.098
Accel,375528,1149003409,1731914516719,1731914516720,3.511,-18.240,-0.598
Accel,375529,1149013279,1731914516730,1731914516730,3.128,-17.672,-0.667
Accel,375530,1149023147,1731914516739,1731914516739,2.001,-16.142,-1.285
Accel,375531,1149033015,1731914516749,1731914516749,1.736,-15.749,-1.128
Accel,375532,1149042885,1731914516759,1731914516759,0.735,-13.965,-2.589
Accel,375533,1149052753,1731914516769,1731914516769,0.314,-13.121,-2.873
Accel,375534,1149062621,1731914516779,1731914516779,1.598,-15.014,-1.746
Accel,375535,1149072491,1731914516788,1731914516789,2.491,-15.769,-1.569
Accel,375536,1149082361,1731914516799,1731914516799,2.560,-15.848,-1.383
Accel,375537,1149092229,1731914516808,1731914516809,2.805,-16.142,-1.422
Accel,375538,1149102097,1731914516818,1731914516818,2.579,-16.240,-2.128
Accel,375539,1149111967,1731914516828,1731914516828,1.755,-15.789,-3.011
Accel,375540,1149121835,1731914516838,1731914516838,1.089,-14.720,-3.579
Accel,375541,1149131703,1731914516848,1731914516848,0.922,-13.543,-3.246
Accel,375542,1149141571,1731914516858,1731914516858,0.530,-12.562,-2.403
Accel,375543,1149151441,1731914516868,1731914516868,0.490,-11.670,-2.108
Accel,375544,1149161311,1731914516877,1731914516878,0.706,-11.484,-2.383
