Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,405124,1441117659,1731914808808,1731914808808,-2.324,-10.415,0.294
Accel,405125,1441127529,1731914808818,1731914808818,-2.334,-10.542,0.343
Accel,405126,1441137401,1731914808828,1731914808828,-2.393,-10.395,0.363
Accel,405127,1441147273,1731914808838,1731914808838,-2.344,-10.542,0.382
Accel,405128,1441157143,1731914808847,1731914808848,-2.197,-10.885,0.333
Accel,405129,1441167015,1731914808858,1731914808858,-2.138,-11.062,0.314
Accel,405130,1441176889,1731914808867,1731914808867,-2.148,-10.993,0.402
Accel,405131,1441186759,1731914808877,1731914808877,-2.040,-10.915,0.549
Accel,405132,1441196631,1731914808887,1731914808887,-1.863,-10.640,0.667
Accel,405133,1441206501,1731914808897,1731914808897,-1.736,-10.287,0.735
Accel,405134,1441216373,1731914808907,1731914808907,-1.667,-9.993,0.775
Accel,405135,1441226245,1731914808916,1731914808917,-1.598,-9.620,0.706
Accel,405136,1441236115,1731914808926,1731914808927,-1.432,-9.346,0.549
Accel,405137,1441245985,1731914808936,1731914808936,-1.334,-9.110,0.363
Accel,405138,1441255857,1731914808946,1731914808946,-1.285,-8.797,0.137
Accel,405139,1441265729,1731914808956,1731914808956,-1.402,-8.345,-0.078
Accel,405193,1441798789,1731914809489,1731914809489,0.441,-11.484,-3.099
Accel,405194,1441808661,1731914809499,1731914809499,0.471,-10.415,-3.128
Accel,405195,1441818531,1731914809509,1731914809509,0.382,-9.944,-3.334
Accel,405196,1441828403,1731914809519,1731914809519,0.382,-10.071,-3.854
Accel,405197,1441838275,1731914809528,1731914809529,0.186,-10.395,-4.305
Accel,405198,1441848145,1731914809538,1731914809539,-0.078,-10.062,-4.580
Accel,405199,1441858017,1731914809548,1731914809549,0.020,-9.816,-4.511
Accel,405200,1441867889,1731914809558,1731914809558,0.343,-9.356,-4.442
Accel,405201,1441877759,1731914809568,1731914809568,0.804,-9.669,-4.217
Accel,405202,1441887629,1731914809578,1731914809578,1.167,-10.091,-4.197
Accel,405203,1441897501,1731914809588,1731914809588,1.765,-10.317,-4.393
Accel,405204,1441907371,1731914809598,1731914809598,2.256,-10.660,-4.393
Accel,405205,1441917243,1731914809607,1731914809608,2.648,-10.895,-4.335
Accel,405206,1441927117,1731914809618,1731914809618,2.834,-10.640,-4.266
Accel,405207,1441936989,1731914809627,1731914809627,2.952,-10.140,-4.129
Accel,405208,1441946859,1731914809637,1731914809637,3.197,-9.816,-3.854
Accel,405209,1441956731,1731914809647,1731914809647,3.677,-9.473,-3.423
Accel,405210,1441966603,1731914809657,1731914809657,4.354,-9.248,-3.099
Accel,405211,1441976475,1731914809667,1731914809667,4.786,-9.081,-2.991
Accel,405212,1441986345,1731914809677,1731914809677,4.854,-9.022,-2.677
Accel,405213,1441996217,1731914809686,1731914809687,4.952,-9.032,-2.589
Accel,405214,1442006087,1731914809696,1731914809697,4.805,-9.208,-2.579
Accel,405215,1442015959,1731914809706,1731914809706,4.697,-9.257,-2.903
Accel,405216,1442025831,1731914809716,1731914809716,4.472,-9.150,-3.109
Accel,405217,1442035703,1731914809726,1731914809726,4.335,-8.904,-3.011
Accel,405218,1442045573,1731914809736,1731914809736,4.491,-8.542,-2.628
Accel,405219,1442055445,1731914809746,1731914809746,4.472,-8.022,-2.197
Accel,405220,1442065317,1731914809756,1731914809756,4.511,-7.679,-1.569
Accel,405221,1442075189,1731914809766,1731914809766,4.648,-7.473,-1.196
Accel,405222,1442085061,1731914809776,1731914809776,4.217,-7.541,-1.451
Accel,405223,1442094933,1731914809785,1731914809785,3.599,-7.904,-2.246
Accel,405224,1442104805,1731914809795,1731914809796,2.815,-8.140,-3.354
Accel,405225,1442114677,1731914809805,1731914809805,2.511,-8.679,-3.972
Accel,405226,1442124549,1731914809815,1731914809815,2.922,-9.208,-3.746
Accel,405227,1442134421,1731914809825,1731914809825,3.354,-9.110,-3.334
Accel,405228,1442144293,1731914809835,1731914809835,3.099,-8.581,-2.815
Accel,405229,1442154165,1731914809845,1731914809845,2.815,-8.032,-2.246
Accel,405230,1442164037,1731914809855,1731914809855,2.560,-8.130,-2.079
Accel,405231,1442173911,1731914809865,1731914809865,1.932,-8.453,-2.677
Accel,405232,1442183783,1731914809874,1731914809875,0.981,-8.836,-3.874
Accel,405233,1442193653,1731914809884,1731914809885,0.137,-9.012,-4.943
Accel,405234,1442203525,1731914809894,1731914809894,-0.402,-9.257,-5.413
Accel,405235,1442213397,1731914809904,1731914809904,-1.128,-9.257,-5.296
Accel,405236,1442223269,1731914809914,1731914809914,-1.334,-8.797,-4.913
Accel,405237,1442233141,1731914809924,1731914809924,-0.951,-8.571,-4.080
Accel,405238,1442243013,1731914809934,1731914809934,-0.667,-8.110,-3.530
Accel,405239,1442252885,1731914809944,1731914809944,-1.030,-8.287,-3.530
Accel,405240,1442262757,1731914809953,1731914809953,-1.618,-8.698,-4.148
Accel,405241,1442272631,1731914809963,1731914809963,-2.197,-9.012,-5.031
Accel,405242,1442282503,1731914809973,1731914809973,-3.109,-9.091,-5.815
Accel,405243,1442292375,1731914809983,1731914809983,-4.236,-9.169,-6.531
Accel,405244,1442302247,1731914809993,1731914809993,-4.560,-9.385,-6.698
Accel,405245,1442312119,1731914810002,1731914810003,-4.354,-8.934,-6.315
Accel,405246,1442321989,1731914810012,1731914810012,-4.286,-8.257,-5.276
Accel,405247,1442331861,1731914810022,1731914810022,-4.168,-7.473,-4.197
Accel,405248,1442341731,1731914810032,1731914810032,-4.099,-7.129,-3.491
Accel,405249,1442351603,1731914810042,1731914810042,-4.217,-7.443,-3.403
Accel,405250,1442361473,1731914810052,1731914810052,-4.403,-8.061,-4.060
Accel,405251,1442371345,1731914810062,1731914810062,-4.786,-8.797,-5.168
Accel,405252,1442381219,1731914810071,1731914810072,-5.021,-9.571,-6.041
Accel,405253,1442391091,1731914810081,1731914810081,-4.943,-9.944,-6.129
Accel,405254,1442400963,1731914810091,1731914810091,-4.717,-9.836,-5.580
Accel,405255,1442410835,1731914810101,1731914810101,-4.374,-9.522,-4.874
Accel,405256,1442420709,1731914810111,1731914810111,-4.040,-9.267,-4.286
Accel,405257,1442430581,1731914810121,1731914810121,-3.854,-9.169,-3.942
Accel,405258,1442440455,1731914810131,1731914810131,-3.668,-9.218,-3.991
Accel,405259,1442450327,1731914810140,1731914810141,-3.511,-9.816,-4.197
Accel,405260,1442460199,1731914810150,1731914810151,-3.383,-10.513,-4.442
Accel,405261,1442470071,1731914810160,1731914810160,-3.197,-11.111,-4.540
Accel,405262,1442479943,1731914810170,1731914810170,-2.922,-11.435,-4.472
Accel,405263,1442489815,1731914810180,1731914810180,-2.520,-11.768,-4.354
Accel,405264,1442499687,1731914810190,1731914810190,-2.344,-11.915,-4.423
Accel,405265,1442509557,1731914810200,1731914810200,-2.471,-12.190,-4.423
Accel,405266,1442519429,1731914810210,1731914810210,-2.628,-12.386,-4.629
Accel,405267,1442529301,1731914810220,1731914810220,-2.805,-12.562,-4.952
Accel,405268,1442539173,1731914810230,1731914810230,-3.060,-12.690,-5.345
Accel,405269,1442549045,1731914810240,1731914810240,-3.491,-12.935,-5.609
Accel,405270,1442558917,1731914810250,1731914810250,-3.854,-13.190,-5.776
Accel,405271,1442568789,1731914810259,1731914810259,-3.923,-13.366,-5.806
Accel,405272,1442578661,1731914810269,1731914810270,-3.923,-13.415,-5.472
Accel,405273,1442588533,1731914810279,1731914810279,-3.815,-13.337,-5.080
Accel,405274,1442598405,1731914810289,1731914810289,-3.785,-13.317,-4.786
Accel,405275,1442608277,1731914810299,1731914810299,-3.736,-13.249,-4.648
Accel,405276,1442618149,1731914810309,1731914810309,-3.628,-13.141,-4.442
Accel,405277,1442628019,1731914810318,1731914810319,-3.628,-12.719,-4.148
Accel,405278,1442637891,1731914810329,1731914810329,-3.599,-12.366,-3.815
Accel,405279,1442647763,1731914810338,1731914810338,-3.677,-11.797,-3.315
Accel,405280,1442657635,1731914810348,1731914810348,-3.677,-11.258,-2.746
Accel,405281,1442667509,1731914810358,1731914810358,-3.530,-11.042,-2.138
Accel,405282,1442677381,1731914810367,1731914810368,-3.148,-10.836,-1.991
Accel,405283,1442687253,1731914810378,1731914810378,-2.854,-10.964,-1.746
Accel,405284,1442697127,1731914810387,1731914810387,-2.648,-11.091,-1.549
Accel,405285,1442706999,1731914810397,1731914810398,-2.314,-11.170,-1.461
Accel,405286,1442716873,1731914810407,1731914810407,-2.206,-10.895,-1.324
Accel,405287,1442726745,1731914810417,1731914810417,-2.324,-10.611,-1.059
Accel,405288,1442736619,1731914810427,1731914810427,-2.246,-10.160,-0.775
Accel,405289,1442746493,1731914810437,1731914810437,-1.853,-9.669,-0.451
Accel,405290,1442756367,1731914810446,1731914810447,-1.451,-9.159,-0.127
Accel,405291,1442766241,1731914810457,1731914810457,-1.255,-8.581,0.275
Accel,405292,1442776113,1731914810467,1731914810467,-1.393,-8.071,0.667
Accel,405293,1442785985,1731914810476,1731914810476,-1.638,-7.620,0.804
Accel,405294,1442795857,1731914810486,1731914810486,-1.736,-7.355,0.667
Accel,405295,1442805729,1731914810496,1731914810496,-1.598,-7.532,0.628
Accel,405296,1442815601,1731914810506,1731914810506,-1.206,-7.620,0.667
Accel,405297,1442825473,1731914810516,1731914810516,-0.598,-7.669,0.735
Accel,405298,1442835345,1731914810526,1731914810526,-0.167,-7.669,0.883
Accel,405299,1442845215,1731914810536,1731914810536,0.029,-7.630,1.138
Accel,405300,1442855087,1731914810546,1731914810546,0.078,-7.277,1.245
Accel,405301,1442864959,1731914810556,1731914810556,-0.127,-6.767,1.167
Accel,405302,1442874833,1731914810565,1731914810565,-0.402,-6.531,1.020
Accel,405303,1442884705,1731914810576,1731914810576,-0.402,-6.315,0.804
Accel,405304,1442894577,1731914810585,1731914810585,-0.284,-6.080,0.530
Accel,405305,1442904449,1731914810595,1731914810595,-0.255,-5.972,0.167
Accel,405306,1442914321,1731914810605,1731914810605,-0.167,-6.315,-0.078
Accel,405307,1442924193,1731914810615,1731914810615,0.000,-6.570,-0.284
Accel,405308,1442934065,1731914810624,1731914810624,0.059,-6.678,-0.333
Accel,405309,1442943937,1731914810634,1731914810634,0.039,-6.669,-0.127
Accel,405310,1442953809,1731914810644,1731914810644,0.167,-6.629,0.157
Accel,405311,1442963683,1731914810654,1731914810654,0.598,-6.482,0.284
Accel,405312,1442973557,1731914810664,1731914810664,1.089,-6.394,0.343
Accel,405313,1442983429,1731914810674,1731914810674,1.393,-6.698,0.343
Accel,405314,1442993303,1731914810684,1731914810684,1.412,-6.855,0.186
Accel,405315,1443003175,1731914810693,1731914810694,1.069,-6.865,-0.157
Accel,405316,1443013049,1731914810703,1731914810703,0.510,-6.884,-0.422
Accel,405317,1443022923,1731914810713,1731914810714,0.255,-6.845,-0.422
Accel,405318,1443032797,1731914810723,1731914810723,0.284,-6.796,-0.245
Accel,405319,1443042669,1731914810733,1731914810733,0.422,-6.659,0.029
Accel,405320,1443052543,1731914810743,1731914810743,0.637,-6.718,0.275
Accel,405321,1443062417,1731914810752,1731914810753,0.981,-7.022,0.343
Accel,405322,1443072289,1731914810762,1731914810763,1.353,-7.355,0.510
Accel,405323,1443082163,1731914810772,1731914810772,1.402,-7.561,0.726
Accel,405324,1443092037,1731914810782,1731914810783,1.167,-7.620,0.912
Accel,405325,1443101909,1731914810792,1731914810792,0.961,-7.620,1.010
Accel,405326,1443111781,1731914810802,1731914810802,0.990,-7.541,1.098
