Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,427431,1661323199,1731915028995,1731915028995,-2.942,-9.483,0.637
Accel,427432,1661333071,1731915029004,1731915029005,-3.040,-9.346,0.667
Accel,427433,1661342943,1731915029014,1731915029014,-3.099,-9.346,0.726
Accel,427434,1661352815,1731915029024,1731915029024,-3.197,-9.346,0.804
Accel,427435,1661362687,1731915029034,1731915029034,-3.285,-9.365,0.912
Accel,427436,1661372559,1731915029044,1731915029044,-3.285,-9.208,1.049
Accel,427437,1661382431,1731915029054,1731915029054,-3.403,-9.061,1.196
Accel,427438,1661392303,1731915029063,1731915029064,-3.560,-8.973,1.255
Accel,427439,1661402175,1731915029073,1731915029074,-3.717,-9.061,1.275
Accel,427440,1661412047,1731915029083,1731915029083,-3.874,-9.228,1.304
Accel,427441,1661421919,1731915029093,1731915029093,-4.060,-9.356,1.422
Accel,427442,1661431791,1731915029103,1731915029103,-4.286,-9.454,1.549
Accel,427443,1661441663,1731915029113,1731915029113,-4.491,-9.650,1.775
Accel,427444,1661451535,1731915029123,1731915029123,-4.629,-9.728,1.952
Accel,427445,1661461407,1731915029133,1731915029133,-4.717,-10.013,1.844
Accel,427446,1661471277,1731915029142,1731915029142,-4.933,-10.238,1.618
Accel,427501,1662014283,1731915029685,1731915029686,5.276,-8.610,-0.402
Accel,427502,1662024155,1731915029696,1731915029696,5.619,-9.071,-0.402
Accel,427503,1662034027,1731915029705,1731915029705,5.845,-9.208,-0.294
Accel,427504,1662043899,1731915029715,1731915029715,5.629,-9.267,0.059
Accel,427505,1662053771,1731915029725,1731915029725,5.433,-9.493,0.598
Accel,427506,1662063645,1731915029735,1731915029735,5.394,-9.532,1.196
Accel,427507,1662073517,1731915029745,1731915029745,5.109,-9.522,1.628
Accel,427508,1662083391,1731915029755,1731915029755,5.070,-9.807,1.667
Accel,427509,1662093265,1731915029765,1731915029765,5.531,-10.513,1.344
Accel,427510,1662103137,1731915029775,1731915029775,5.884,-10.993,0.814
Accel,427511,1662113011,1731915029784,1731915029785,5.403,-10.944,0.579
Accel,427512,1662122883,1731915029794,1731915029795,4.236,-10.209,0.598
Accel,427513,1662132757,1731915029804,1731915029804,3.354,-9.846,0.775
Accel,427514,1662142631,1731915029814,1731915029814,3.579,-10.297,0.981
Accel,427515,1662152503,1731915029824,1731915029824,3.903,-10.640,1.010
Accel,427516,1662162375,1731915029834,1731915029834,4.472,-11.719,1.196
Accel,427517,1662172249,1731915029844,1731915029844,5.394,-13.141,1.324
Accel,427518,1662182121,1731915029853,1731915029853,5.894,-13.945,1.412
Accel,427519,1662191995,1731915029863,1731915029864,5.619,-13.749,1.481
Accel,427520,1662201867,1731915029873,1731915029873,4.374,-12.396,1.373
Accel,427521,1662211739,1731915029883,1731915029883,3.442,-11.690,1.334
Accel,427522,1662221613,1731915029893,1731915029893,3.491,-11.542,1.020
Accel,427523,1662231485,1731915029903,1731915029903,3.766,-11.621,0.912
Accel,427524,1662241357,1731915029913,1731915029913,4.491,-11.768,0.912
Accel,427525,1662251229,1731915029923,1731915029923,5.188,-11.964,0.775
Accel,427526,1662261101,1731915029932,1731915029932,5.031,-11.219,0.441
Accel,427527,1662270975,1731915029942,1731915029943,4.011,-10.091,0.020
Accel,427528,1662280847,1731915029952,1731915029952,2.560,-9.424,-0.981
Accel,427529,1662290721,1731915029962,1731915029962,1.285,-9.346,-2.324
Accel,427530,1662300593,1731915029972,1731915029972,0.667,-9.532,-3.472
Accel,427531,1662310465,1731915029982,1731915029982,0.186,-9.865,-3.962
Accel,427532,1662320337,1731915029992,1731915029992,1.245,-10.042,-3.697
Accel,427533,1662330209,1731915030002,1731915030002,2.040,-9.483,-3.942
Accel,427534,1662340079,1731915030011,1731915030011,2.560,-9.208,-3.834
Accel,427535,1662349951,1731915030021,1731915030021,2.971,-9.611,-3.305
Accel,427536,1662359823,1731915030031,1731915030031,2.677,-10.317,-3.472
Accel,427537,1662369697,1731915030041,1731915030041,1.765,-10.836,-4.286
Accel,427538,1662379569,1731915030051,1731915030051,1.138,-10.797,-5.001
Accel,427539,1662389441,1731915030061,1731915030061,1.157,-11.062,-5.041
Accel,427540,1662399315,1731915030070,1731915030071,2.108,-11.484,-4.609
Accel,427541,1662409187,1731915030080,1731915030081,3.766,-12.072,-4.060
Accel,427542,1662419059,1731915030090,1731915030090,4.599,-12.317,-3.736
Accel,427543,1662428931,1731915030100,1731915030100,4.266,-12.219,-3.530
Accel,427544,1662438803,1731915030110,1731915030110,3.805,-12.366,-3.423
Accel,427545,1662448675,1731915030120,1731915030120,3.423,-12.660,-3.511
Accel,427546,1662458547,1731915030130,1731915030130,3.285,-12.690,-3.648
Accel,427547,1662468419,1731915030140,1731915030140,3.177,-12.317,-3.815
Accel,427548,1662478291,1731915030150,1731915030150,2.922,-11.640,-3.648
Accel,427549,1662488163,1731915030160,1731915030160,3.285,-11.170,-3.530
