Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,434601,1732110425,1731915099776,1731915099776,-0.912,-10.013,-0.069
Accel,434602,1732120295,1731915099785,1731915099785,-0.990,-10.160,-0.294
Accel,434603,1732130167,1731915099795,1731915099795,-1.059,-10.287,-0.471
Accel,434604,1732140039,1731915099805,1731915099805,-1.098,-10.366,-0.549
Accel,434605,1732149909,1731915099815,1731915099815,-1.128,-10.385,-0.598
Accel,434606,1732159781,1731915099825,1731915099825,-1.157,-10.317,-0.559
Accel,434607,1732169651,1731915099835,1731915099835,-0.981,-10.434,-0.402
Accel,434608,1732179523,1731915099844,1731915099845,-0.834,-10.542,-0.206
Accel,434609,1732189395,1731915099854,1731915099855,-0.941,-10.513,0.010
Accel,434610,1732199267,1731915099864,1731915099864,-1.128,-10.336,0.275
Accel,434611,1732209137,1731915099874,1731915099874,-1.177,-10.189,0.402
Accel,434612,1732219009,1731915099884,1731915099884,-1.128,-9.983,0.363
Accel,434613,1732228881,1731915099894,1731915099894,-1.157,-9.836,0.275
Accel,434614,1732238753,1731915099904,1731915099904,-1.206,-9.895,0.137
Accel,434615,1732248625,1731915099914,1731915099914,-1.265,-10.160,0.020
Accel,434616,1732258497,1731915099923,1731915099924,-1.451,-10.189,0.020
Accel,434662,1732712619,1731915100377,1731915100378,0.255,-14.396,-2.540
Accel,434663,1732722493,1731915100388,1731915100388,-0.255,-14.298,-2.138
Accel,434664,1732732367,1731915100397,1731915100397,-0.422,-13.592,-1.667
Accel,434665,1732742239,1731915100407,1731915100407,-0.451,-13.317,-0.922
Accel,434666,1732752113,1731915100417,1731915100417,-0.118,-12.670,-0.726
Accel,434667,1732761987,1731915100427,1731915100427,-0.912,-12.013,-1.089
Accel,434668,1732771859,1731915100437,1731915100437,-1.226,-12.445,-0.961
Accel,434669,1732781733,1731915100447,1731915100447,-2.020,-11.964,-3.011
Accel,434670,1732791605,1731915100456,1731915100457,-2.412,-11.964,-4.874
Accel,434671,1732801479,1731915100467,1731915100467,-2.128,-13.935,-4.472
Accel,434672,1732811353,1731915100477,1731915100477,-0.598,-15.063,-4.697
Accel,434673,1732821225,1731915100486,1731915100487,-0.235,-14.896,-4.374
Accel,434674,1732831099,1731915100497,1731915100497,-0.912,-14.014,-3.177
Accel,434675,1732840971,1731915100506,1731915100506,-0.843,-12.621,-2.295
Accel,434676,1732850843,1731915100516,1731915100516,-0.843,-11.690,-1.912
Accel,434677,1732860715,1731915100526,1731915100526,-1.922,-10.993,-2.324
Accel,434678,1732870589,1731915100536,1731915100536,-2.609,-11.121,-3.423
Accel,434679,1732880461,1731915100546,1731915100546,-2.265,-12.141,-4.374
Accel,434680,1732890333,1731915100556,1731915100556,-1.598,-13.239,-4.766
Accel,434681,1732900203,1731915100565,1731915100566,-1.059,-13.739,-5.080
Accel,434682,1732910075,1731915100575,1731915100576,-0.402,-14.347,-4.894
Accel,434683,1732919949,1731915100585,1731915100586,-0.010,-14.396,-4.462
Accel,434684,1732929821,1731915100595,1731915100595,0.157,-14.161,-4.354
Accel,434685,1732939693,1731915100605,1731915100605,0.167,-14.288,-4.374
Accel,434686,1732949565,1731915100615,1731915100615,0.000,-14.288,-4.717
Accel,434687,1732959437,1731915100624,1731915100625,-0.078,-14.288,-5.217
Accel,434688,1732969309,1731915100634,1731915100634,-0.294,-14.396,-5.884
Accel,434689,1732979181,1731915100644,1731915100644,-0.245,-14.720,-6.394
Accel,434690,1732989053,1731915100654,1731915100654,0.000,-15.122,-6.629
Accel,434691,1732998925,1731915100664,1731915100664,0.177,-15.338,-6.580
Accel,434692,1733008797,1731915100674,1731915100674,0.069,-14.896,-6.227
Accel,434693,1733018669,1731915100683,1731915100684,-0.029,-14.475,-5.894
Accel,434694,1733028539,1731915100693,1731915100694,-0.039,-14.122,-5.619
Accel,434695,1733038413,1731915100703,1731915100703,-0.255,-13.847,-5.403
Accel,434696,1733048283,1731915100713,1731915100713,-0.559,-13.523,-5.335
Accel,434697,1733058153,1731915100723,1731915100723,-0.579,-13.317,-5.305
Accel,434698,1733068025,1731915100733,1731915100733,-0.579,-13.366,-5.041
Accel,434699,1733077897,1731915100743,1731915100743,-0.696,-13.062,-4.874
Accel,434700,1733087769,1731915100753,1731915100753,-0.775,-12.670,-4.629
