Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,449709,1881236121,1731915248888,1731915248888,1.020,-9.699,2.099
Accel,449710,1881245991,1731915248898,1731915248898,0.912,-9.611,2.118
Accel,449711,1881255863,1731915248908,1731915248908,0.804,-9.454,2.167
Accel,449712,1881265733,1731915248918,1731915248918,0.726,-9.316,2.206
Accel,449713,1881275603,1731915248928,1731915248928,0.686,-9.208,2.236
Accel,449714,1881285475,1731915248938,1731915248938,0.696,-9.208,2.295
Accel,449715,1881295345,1731915248947,1731915248948,0.735,-9.257,2.334
Accel,449716,1881305213,1731915248957,1731915248957,0.745,-9.287,2.324
Accel,449717,1881315085,1731915248967,1731915248967,0.696,-9.307,2.197
Accel,449718,1881324953,1731915248977,1731915248977,0.628,-9.434,2.099
Accel,449719,1881334823,1731915248987,1731915248987,0.579,-9.473,2.030
Accel,449720,1881344693,1731915248997,1731915248997,0.579,-9.434,2.001
Accel,449721,1881354563,1731915249006,1731915249007,0.579,-9.424,2.050
Accel,449722,1881364431,1731915249016,1731915249017,0.618,-9.395,2.118
Accel,449723,1881374301,1731915249026,1731915249026,0.735,-9.297,2.206
Accel,449724,1881384173,1731915249036,1731915249036,0.834,-9.257,2.295
Accel,449830,1882430409,1731915250082,1731915250082,-0.333,-6.355,-0.275
Accel,449831,1882440279,1731915250092,1731915250092,0.726,-11.660,-1.481
Accel,449832,1882450151,1731915250102,1731915250102,-1.549,-13.013,-3.903
Accel,449833,1882460021,1731915250112,1731915250112,-1.285,-10.670,-3.197
Accel,449834,1882469893,1731915250122,1731915250122,-1.393,-8.296,-1.275
Accel,449835,1882479763,1731915250132,1731915250132,-1.844,-8.022,-1.971
Accel,449836,1882489633,1731915250142,1731915250142,-0.775,-9.385,-2.971
Accel,449837,1882499501,1731915250152,1731915250152,-0.451,-10.091,-2.697
Accel,449838,1882509371,1731915250161,1731915250162,-1.128,-9.356,-2.540
Accel,449839,1882519241,1731915250172,1731915250172,-1.089,-8.846,-2.579
Accel,449840,1882529111,1731915250181,1731915250181,-0.667,-9.150,-2.540
Accel,449841,1882538979,1731915250191,1731915250191,-0.696,-9.395,-2.520
Accel,449842,1882548849,1731915250201,1731915250201,-0.726,-9.267,-2.540
Accel,449843,1882558717,1731915250211,1731915250211,-0.843,-9.228,-2.648
Accel,449844,1882568587,1731915250221,1731915250221,-1.010,-9.257,-2.785
Accel,449845,1882578457,1731915250231,1731915250231,-1.020,-9.297,-2.805
Accel,449846,1882588327,1731915250240,1731915250241,-0.814,-9.208,-2.667
Accel,449847,1882598195,1731915250250,1731915250251,-0.637,-9.199,-2.540
Accel,449848,1882608067,1731915250260,1731915250260,-0.471,-9.248,-2.393
Accel,449849,1882617937,1731915250270,1731915250270,-0.402,-9.346,-2.295
Accel,449850,1882627807,1731915250280,1731915250280,-0.510,-9.473,-2.334
Accel,449851,1882637675,1731915250290,1731915250290,-0.696,-9.444,-2.422
Accel,449852,1882647545,1731915250300,1731915250300,-0.843,-9.424,-2.452
Accel,449853,1882657413,1731915250309,1731915250310,-0.981,-9.297,-2.491
Accel,449854,1882667285,1731915250319,1731915250319,-1.128,-9.179,-2.579
Accel,449855,1882677153,1731915250329,1731915250330,-1.098,-9.130,-2.589
Accel,449856,1882687023,1731915250339,1731915250339,-1.098,-9.091,-2.648
Accel,449857,1882696891,1731915250349,1731915250349,-1.059,-9.150,-2.609
Accel,449858,1882706761,1731915250359,1731915250359,-0.843,-9.257,-2.491
Accel,449859,1882716633,1731915250369,1731915250369,-0.706,-9.346,-2.471
Accel,449860,1882726503,1731915250379,1731915250379,-0.686,-9.307,-2.491
Accel,449861,1882736373,1731915250388,1731915250389,-0.637,-9.307,-2.471
Accel,449862,1882746243,1731915250398,1731915250398,-0.667,-9.395,-2.471
Accel,449863,1882756113,1731915250408,1731915250408,-0.804,-9.346,-2.540
Accel,449864,1882765981,1731915250418,1731915250418,-0.843,-9.297,-2.579
Accel,449865,1882775851,1731915250428,1731915250428,-0.834,-9.208,-2.579
Accel,449866,1882785721,1731915250438,1731915250438,-1.020,-9.110,-2.648
Accel,449867,1882795591,1731915250447,1731915250448,-1.059,-9.071,-2.648
Accel,449868,1882805459,1731915250457,1731915250457,-0.922,-9.257,-2.628
Accel,449869,1882815329,1731915250467,1731915250467,-0.775,-9.346,-2.589
Accel,449870,1882825197,1731915250477,1731915250477,-0.667,-9.297,-2.560
Accel,449871,1882835067,1731915250487,1731915250487,-0.628,-9.179,-2.471
Accel,449872,1882844935,1731915250497,1731915250497,-0.628,-9.248,-2.471
Accel,449873,1882854805,1731915250507,1731915250507,-0.657,-9.512,-2.609
Accel,449874,1882864675,1731915250516,1731915250517,-0.667,-9.483,-2.648
Accel,449875,1882874543,1731915250526,1731915250527,-0.706,-9.199,-2.452
Accel,449876,1882884413,1731915250536,1731915250536,-0.814,-9.159,-2.491
Accel,449877,1882894283,1731915250546,1731915250546,-0.883,-9.395,-2.697
Accel,449878,1882904153,1731915250556,1731915250557,-0.922,-9.385,-2.697
Accel,449879,1882914023,1731915250566,1731915250566,-1.020,-9.120,-2.589
Accel,449880,1882923893,1731915250576,1731915250576,-0.990,-9.022,-2.589
Accel,449881,1882933761,1731915250586,1731915250586,-0.834,-9.199,-2.648
Accel,449882,1882943631,1731915250595,1731915250596,-0.775,-9.307,-2.648
Accel,449883,1882953501,1731915250605,1731915250606,-0.834,-9.179,-2.589
Accel,449884,1882963371,1731915250615,1731915250615,-0.706,-9.287,-2.511
Accel,449885,1882973241,1731915250625,1731915250625,-0.637,-9.454,-2.579
Accel,449886,1882983109,1731915250635,1731915250635,-0.667,-9.424,-2.540
Accel,449887,1882992979,1731915250645,1731915250645,-0.696,-9.257,-2.432
Accel,449888,1883002849,1731915250655,1731915250655,-0.804,-9.228,-2.491
Accel,449889,1883012719,1731915250665,1731915250665,-0.941,-9.228,-2.589
Accel,449890,1883022589,1731915250674,1731915250675,-1.010,-9.120,-2.648
Accel,449891,1883032459,1731915250684,1731915250684,-1.069,-9.091,-2.677
Accel,449892,1883042327,1731915250694,1731915250695,-1.059,-9.159,-2.677
Accel,449893,1883052197,1731915250704,1731915250704,-0.990,-9.199,-2.648
