Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,453806,1921670825,1731915289319,1731915289320,0.883,-9.042,1.912
Accel,453807,1921680693,1731915289329,1731915289329,0.814,-9.081,1.834
Accel,453808,1921690561,1731915289339,1731915289339,0.735,-9.022,1.736
Accel,453809,1921700429,1731915289349,1731915289349,0.775,-8.983,1.687
Accel,453810,1921710299,1731915289359,1731915289359,0.922,-9.081,1.667
Accel,453811,1921720167,1731915289369,1731915289369,1.010,-9.022,1.608
Accel,453812,1921730037,1731915289378,1731915289378,1.049,-8.797,1.481
Accel,453813,1921739905,1731915289388,1731915289389,1.059,-8.669,1.393
Accel,453814,1921749773,1731915289398,1731915289398,1.049,-8.571,1.255
Accel,453815,1921759643,1731915289408,1731915289408,1.030,-8.434,1.167
Accel,453816,1921769511,1731915289418,1731915289418,1.089,-8.140,1.020
Accel,453817,1921779379,1731915289428,1731915289428,0.981,-7.639,0.843
Accel,453818,1921789249,1731915289438,1731915289438,0.579,-7.296,0.794
Accel,453819,1921799117,1731915289448,1731915289448,0.196,-6.973,0.559
Accel,453820,1921808987,1731915289457,1731915289457,-0.078,-6.580,-0.029
Accel,453821,1921818855,1731915289467,1731915289467,-0.314,-6.492,-0.471
Accel,453870,1922302425,1731915289951,1731915289951,-1.157,-10.993,-0.883
Accel,453871,1922312293,1731915289961,1731915289961,-0.814,-12.690,-1.765
Accel,453872,1922322163,1731915289971,1731915289971,-0.039,-13.935,-2.589
Accel,453873,1922332031,1731915289980,1731915289981,0.471,-14.337,-2.952
Accel,453874,1922341899,1731915289991,1731915289991,1.069,-14.318,-2.746
Accel,453875,1922351767,1731915290000,1731915290001,1.834,-14.475,-2.118
Accel,453876,1922361635,1731915290011,1731915290011,2.491,-15.043,-1.402
Accel,453877,1922371503,1731915290020,1731915290021,2.815,-15.387,-1.206
Accel,453878,1922381371,1731915290030,1731915290030,2.491,-15.289,-1.393
Accel,453879,1922391239,1731915290040,1731915290040,1.687,-14.720,-1.569
Accel,453880,1922401109,1731915290050,1731915290050,0.814,-13.788,-1.765
Accel,453881,1922410977,1731915290059,1731915290060,0.333,-12.847,-1.853
Accel,453882,1922420847,1731915290070,1731915290070,0.628,-12.366,-1.687
Accel,453883,1922430715,1731915290080,1731915290080,1.765,-12.945,-1.500
Accel,453884,1922440583,1731915290089,1731915290089,2.334,-13.818,-1.638
Accel,453885,1922450451,1731915290099,1731915290099,2.128,-14.318,-1.981
Accel,453886,1922460321,1731915290109,1731915290109,1.932,-14.347,-2.354
Accel,453887,1922470189,1731915290119,1731915290119,1.687,-13.994,-2.579
Accel,453888,1922480057,1731915290128,1731915290129,1.334,-13.210,-2.609
Accel,453889,1922489927,1731915290138,1731915290138,1.128,-12.396,-2.452
Accel,453890,1922499795,1731915290148,1731915290148,1.069,-11.660,-2.324
Accel,453891,1922509665,1731915290158,1731915290158,1.089,-11.268,-2.412
Accel,453892,1922519533,1731915290168,1731915290168,1.177,-11.395,-2.609
Accel,453893,1922529403,1731915290178,1731915290178,1.314,-11.542,-2.609
Accel,453894,1922539271,1731915290188,1731915290188,1.236,-11.189,-2.452
Accel,453895,1922549141,1731915290198,1731915290198,1.010,-10.464,-2.197
Accel,453896,1922559011,1731915290207,1731915290207,0.922,-9.964,-1.804
Accel,453897,1922568879,1731915290217,1731915290218,0.951,-9.473,-1.618
Accel,453898,1922578747,1731915290227,1731915290227,0.981,-9.248,-1.540
Accel,453899,1922588617,1731915290237,1731915290237,1.138,-9.307,-1.687
Accel,453900,1922598485,1731915290247,1731915290247,1.118,-9.512,-2.001
Accel,453901,1922608353,1731915290257,1731915290257,1.020,-9.483,-2.236
Accel,453902,1922618221,1731915290267,1731915290267,1.059,-9.346,-2.256
Accel,453903,1922628089,1731915290276,1731915290277,1.177,-9.169,-2.108
Accel,453904,1922637959,1731915290286,1731915290287,1.177,-8.836,-1.922
Accel,453905,1922647829,1731915290296,1731915290296,1.157,-8.649,-1.736
Accel,453906,1922657699,1731915290306,1731915290306,1.098,-8.532,-1.844
Accel,453907,1922667567,1731915290316,1731915290316,1.089,-8.620,-2.079
Accel,453908,1922677437,1731915290326,1731915290326,1.098,-8.708,-2.216
Accel,453909,1922687305,1731915290336,1731915290336,0.912,-8.620,-2.265
Accel,453910,1922697175,1731915290346,1731915290346,0.726,-8.394,-2.354
Accel,453911,1922707043,1731915290355,1731915290356,0.471,-8.198,-2.452
Accel,453912,1922716911,1731915290366,1731915290366,0.343,-8.061,-2.363
Accel,453913,1922726781,1731915290376,1731915290376,0.363,-7.934,-2.216
Accel,453914,1922736649,1731915290385,1731915290385,0.402,-7.924,-2.050
Accel,453915,1922746517,1731915290395,1731915290396,0.490,-7.885,-1.883
Accel,453916,1922756387,1731915290405,1731915290405,0.490,-7.718,-1.814
Accel,453917,1922766255,1731915290415,1731915290415,0.441,-7.845,-1.755
Accel,453918,1922776125,1731915290425,1731915290425,0.422,-8.071,-1.706
Accel,453919,1922785993,1731915290435,1731915290435,0.451,-8.228,-1.638
Accel,453920,1922795863,1731915290445,1731915290445,0.451,-8.306,-1.530
Accel,453921,1922805731,1731915290455,1731915290455,0.490,-8.306,-1.412
Accel,453922,1922815601,1731915290464,1731915290464,0.471,-8.208,-1.324
Accel,453923,1922825469,1731915290474,1731915290475,0.422,-8.169,-1.285
Accel,453924,1922835339,1731915290484,1731915290484,0.559,-8.473,-1.255
Accel,453925,1922845209,1731915290494,1731915290494,0.706,-8.865,-1.236
Accel,453926,1922855077,1731915290504,1731915290504,0.706,-8.944,-1.304
Accel,453927,1922864945,1731915290513,1731915290514,0.559,-8.885,-1.304
Accel,453928,1922874815,1731915290523,1731915290523,0.471,-8.757,-1.138
Accel,453929,1922884685,1731915290534,1731915290534,0.422,-8.591,-0.990
Accel,453930,1922894553,1731915290543,1731915290543,0.314,-8.610,-0.883
Accel,453931,1922904423,1731915290553,1731915290553,0.314,-8.708,-0.912
Accel,453932,1922914293,1731915290563,1731915290563,0.382,-8.816,-0.981
Accel,453933,1922924161,1731915290573,1731915290573,0.382,-9.081,-1.020
Accel,453934,1922934029,1731915290583,1731915290583,0.422,-9.287,-1.098
Accel,453935,1922943897,1731915290592,1731915290593,0.451,-9.346,-1.118
Accel,453936,1922953765,1731915290602,1731915290602,0.314,-9.473,-1.059
Accel,453937,1922963633,1731915290612,1731915290612,0.127,-9.561,-1.167
Accel,453938,1922973501,1731915290622,1731915290622,-0.029,-9.660,-1.275
Accel,453939,1922983369,1731915290632,1731915290632,-0.127,-9.611,-1.206
Accel,453940,1922993237,1731915290642,1731915290642,-0.186,-9.493,-1.059
Accel,453941,1923003107,1731915290651,1731915290652,-0.255,-9.365,-1.030
Accel,453942,1923012975,1731915290661,1731915290661,-0.314,-9.346,-1.020
Accel,453943,1923022845,1731915290671,1731915290671,-0.284,-9.444,-0.951
Accel,453944,1923032715,1731915290681,1731915290681,-0.265,-9.444,-0.951
Accel,453945,1923042585,1731915290691,1731915290691,-0.265,-9.611,-0.912
Accel,453946,1923052453,1731915290701,1731915290701,-0.137,-9.816,-0.961
Accel,453947,1923062323,1731915290711,1731915290711,-0.167,-9.895,-0.990
Accel,453948,1923072193,1731915290721,1731915290721,-0.226,-9.885,-0.981
Accel,453949,1923082061,1731915290730,1731915290730,-0.127,-9.915,-0.902
Accel,453950,1923091931,1731915290741,1731915290741,-0.039,-9.895,-0.873
Accel,453951,1923101799,1731915290751,1731915290751,0.000,-9.993,-0.902
Accel,453952,1923111669,1731915290760,1731915290760,0.078,-10.238,-1.020
Accel,453953,1923121539,1731915290770,1731915290771,0.118,-10.464,-1.128
