Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,609064,3454270901,1731916821786,1731916821786,-0.029,-9.620,0.814
Accel,609065,3454280773,1731916821795,1731916821795,0.010,-9.542,0.814
Accel,609066,3454290647,1731916821805,1731916821806,0.039,-9.611,0.873
Accel,609067,3454300519,1731916821815,1731916821815,0.088,-9.581,0.843
Accel,609068,3454310391,1731916821825,1731916821825,0.137,-9.728,0.804
Accel,609069,3454320265,1731916821835,1731916821835,0.226,-9.807,0.775
Accel,609070,3454330137,1731916821845,1731916821845,0.235,-9.816,0.775
Accel,609071,3454340011,1731916821854,1731916821855,0.167,-9.758,0.804
Accel,609072,3454349885,1731916821864,1731916821865,0.069,-9.758,0.843
Accel,609073,3454359759,1731916821874,1731916821874,0.000,-9.581,0.883
Accel,609074,3454369633,1731916821884,1731916821884,-0.098,-9.473,0.951
Accel,609075,3454379507,1731916821894,1731916821894,-0.137,-9.405,0.990
Accel,609076,3454389379,1731916821904,1731916821904,-0.118,-9.424,0.922
Accel,609077,3454399251,1731916821914,1731916821914,-0.029,-9.532,0.804
Accel,609078,3454409125,1731916821924,1731916821924,0.039,-9.709,0.696
Accel,609079,3454418997,1731916821933,1731916821934,0.078,-9.836,0.598
Accel,609128,3454902775,1731916822417,1731916822417,-0.579,-5.619,-0.294
Accel,609129,3454912651,1731916822428,1731916822428,-0.883,-5.806,0.314
Accel,609130,3454922525,1731916822437,1731916822437,-0.579,-6.227,0.490
Accel,609131,3454932401,1731916822447,1731916822448,0.245,-7.267,0.186
Accel,609132,3454942275,1731916822457,1731916822457,1.314,-8.316,-0.402
Accel,609133,3454952151,1731916822467,1731916822467,2.383,-9.228,-1.020
Accel,609134,3454962025,1731916822477,1731916822477,2.785,-10.120,-1.275
Accel,609135,3454971901,1731916822487,1731916822487,2.697,-11.140,-1.491
Accel,609136,3454981775,1731916822497,1731916822497,2.511,-11.788,-1.971
Accel,609137,3454991649,1731916822507,1731916822507,1.912,-12.445,-2.256
Accel,609138,3455001523,1731916822516,1731916822517,1.402,-12.915,-2.295
Accel,609139,3455011397,1731916822526,1731916822526,1.500,-12.915,-2.334
