Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,641185,3771345899,1731917138833,1731917138833,-1.471,-9.346,-0.088
Accel,641186,3771355771,1731917138843,1731917138843,-1.393,-9.669,-0.127
Accel,641187,3771365643,1731917138852,1731917138853,-1.451,-9.571,-0.265
Accel,641188,3771375515,1731917138862,1731917138862,-1.618,-9.434,-0.402
Accel,641189,3771385387,1731917138872,1731917138872,-1.834,-9.297,-0.559
Accel,641190,3771395259,1731917138882,1731917138882,-1.991,-9.120,-0.598
Accel,641191,3771405131,1731917138892,1731917138892,-2.138,-8.757,-0.667
Accel,641192,3771415003,1731917138902,1731917138902,-2.403,-8.306,-0.637
Accel,641193,3771424875,1731917138912,1731917138912,-2.344,-8.169,-0.451
Accel,641194,3771434747,1731917138922,1731917138922,-2.020,-8.198,-0.177
Accel,641195,3771444619,1731917138931,1731917138931,-1.834,-8.483,0.059
Accel,641196,3771454491,1731917138941,1731917138942,-1.824,-8.444,0.098
Accel,641197,3771464363,1731917138951,1731917138951,-1.863,-8.345,0.039
Accel,641198,3771474235,1731917138961,1731917138961,-1.971,-7.983,-0.451
Accel,641199,3771484105,1731917138971,1731917138971,-2.138,-7.659,-0.941
Accel,641200,3771493977,1731917138981,1731917138981,-2.265,-7.581,-1.236
Accel,641250,3771987521,1731917139474,1731917139475,0.804,-11.013,-1.589
Accel,641251,3771997393,1731917139484,1731917139484,0.775,-10.542,-1.491
Accel,641252,3772007263,1731917139495,1731917139495,1.098,-10.219,-0.922
Accel,641253,3772017133,1731917139504,1731917139504,1.569,-10.111,-0.422
Accel,641254,3772027005,1731917139514,1731917139515,1.961,-10.317,-0.255
Accel,641255,3772036875,1731917139524,1731917139524,2.324,-10.738,-0.167
Accel,641256,3772046745,1731917139534,1731917139534,2.314,-10.993,-0.510
Accel,641257,3772056615,1731917139544,1731917139544,1.932,-11.062,-1.275
Accel,641258,3772066485,1731917139554,1731917139554,1.618,-11.219,-2.452
Accel,641259,3772076357,1731917139563,1731917139563,1.520,-11.611,-3.266
Accel,641260,3772086227,1731917139574,1731917139574,1.628,-12.092,-3.266
Accel,641261,3772096099,1731917139583,1731917139583,1.765,-12.415,-2.815
Accel,641262,3772105969,1731917139593,1731917139594,1.687,-12.513,-2.187
Accel,641263,3772115841,1731917139603,1731917139603,1.746,-12.523,-1.863
Accel,641264,3772125713,1731917139612,1731917139612,1.432,-12.523,-1.883
Accel,641265,3772135585,1731917139622,1731917139622,1.030,-12.611,-2.560
Accel,641266,3772145455,1731917139632,1731917139632,0.922,-12.739,-3.766
Accel,641267,3772155327,1731917139642,1731917139642,0.265,-12.935,-4.540
Accel,641268,3772165197,1731917139652,1731917139652,0.010,-13.190,-4.266
Accel,641269,3772175067,1731917139662,1731917139662,0.078,-13.170,-3.423
Accel,641270,3772184937,1731917139672,1731917139672,-0.088,-12.994,-2.520
Accel,641271,3772194807,1731917139682,1731917139682,-0.275,-12.837,-1.883
Accel,641272,3772204677,1731917139691,1731917139692,-0.451,-12.690,-2.236
Accel,641273,3772214547,1731917139701,1731917139702,-0.981,-12.464,-3.285
Accel,641274,3772224419,1731917139711,1731917139711,-1.746,-12.592,-4.580
Accel,641275,3772234291,1731917139721,1731917139721,-2.334,-12.788,-5.688
Accel,641276,3772244161,1731917139731,1731917139731,-2.815,-13.023,-6.521
Accel,641277,3772254033,1731917139741,1731917139741,-3.060,-13.111,-6.306
Accel,641278,3772263903,1731917139751,1731917139751,-2.785,-12.739,-4.982
Accel,641279,3772273775,1731917139761,1731917139761,-2.412,-12.562,-3.511
Accel,641280,3772283645,1731917139770,1731917139770,-2.363,-12.464,-2.991
Accel,641281,3772293517,1731917139780,1731917139781,-2.452,-12.592,-2.746
