Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,711530,170816849,1731917833210,1731917833210,-3.697,-9.542,0.686
Accel,711531,170826721,1731917833220,1731917833221,-3.903,-9.483,0.598
Accel,711532,170836591,1731917833230,1731917833230,-4.060,-9.473,0.637
Accel,711533,170846461,1731917833240,1731917833240,-4.099,-9.473,0.696
Accel,711534,170856333,1731917833250,1731917833250,-4.217,-9.473,0.804
Accel,711535,170866203,1731917833260,1731917833260,-4.246,-9.620,0.990
Accel,711536,170876075,1731917833270,1731917833270,-4.305,-9.669,1.098
Accel,711537,170885945,1731917833280,1731917833280,-4.403,-9.679,1.157
Accel,711538,170895817,1731917833289,1731917833289,-4.648,-9.709,1.196
Accel,711539,170905687,1731917833299,1731917833299,-4.943,-9.532,1.049
Accel,711540,170915557,1731917833309,1731917833309,-5.256,-9.395,0.922
Accel,711541,170925429,1731917833319,1731917833319,-5.541,-9.218,0.745
Accel,711542,170935299,1731917833329,1731917833329,-5.757,-9.208,0.628
Accel,711543,170945169,1731917833339,1731917833339,-5.953,-9.081,0.530
Accel,711544,170955041,1731917833349,1731917833349,-6.119,-8.836,0.177
Accel,711545,170964911,1731917833358,1731917833358,-6.217,-8.855,-0.226
Accel,711592,171428881,1731917833822,1731917833822,6.002,-11.611,-0.333
Accel,711593,171438751,1731917833833,1731917833833,6.384,-11.886,0.059
Accel,711594,171448623,1731917833842,1731917833842,7.031,-12.209,0.088
Accel,711595,171458495,1731917833852,1731917833852,7.708,-12.886,-0.039
Accel,711596,171468365,1731917833862,1731917833862,8.140,-13.641,-0.284
Accel,711597,171478235,1731917833872,1731917833873,8.385,-14.220,-0.530
Accel,711598,171488105,1731917833882,1731917833882,8.571,-14.818,-0.530
Accel,711599,171497975,1731917833892,1731917833892,8.846,-14.945,-0.402
Accel,711600,171507845,1731917833901,1731917833902,9.110,-14.769,0.039
Accel,711601,171517715,1731917833912,1731917833912,9.336,-14.720,0.530
Accel,711602,171527585,1731917833921,1731917833921,9.709,-14.641,0.402
Accel,711603,171537457,1731917833931,1731917833932,9.483,-13.994,0.000
Accel,711604,171547327,1731917833941,1731917833941,8.757,-13.043,-0.167
Accel,711605,171557197,1731917833951,1731917833951,8.041,-12.268,-0.451
Accel,711606,171567069,1731917833961,1731917833961,7.080,-11.562,-0.696
Accel,711607,171576939,1731917833971,1731917833971,6.119,-10.611,-0.951
Accel,711608,171586809,1731917833981,1731917833981,5.364,-9.571,-1.520
Accel,711609,171596679,1731917833990,1731917833990,4.560,-9.022,-2.118
Accel,711610,171606549,1731917834000,1731917834000,3.991,-8.855,-2.815
Accel,711611,171616419,1731917834010,1731917834010,3.628,-8.865,-3.442
Accel,711612,171626287,1731917834020,1731917834020,3.285,-8.944,-3.854
Accel,711613,171636157,1731917834030,1731917834030,2.697,-8.944,-4.178
Accel,711614,171646027,1731917834040,1731917834040,1.952,-8.669,-4.423
Accel,711615,171655895,1731917834050,1731917834050,1.236,-8.081,-4.511
Accel,711616,171665765,1731917834060,1731917834060,0.490,-7.394,-4.629
Accel,711617,171675635,1731917834069,1731917834070,-0.235,-7.090,-4.697
Accel,711618,171685507,1731917834079,1731917834079,-0.843,-7.031,-4.854
Accel,711619,171695377,1731917834089,1731917834089,-1.285,-6.855,-5.119
Accel,711620,171705247,1731917834099,1731917834099,-1.520,-7.120,-5.452
Accel,711621,171715117,1731917834109,1731917834109,-1.648,-7.581,-5.904
Accel,711622,171724987,1731917834118,1731917834119,-2.148,-7.698,-6.345
Accel,711623,171734857,1731917834129,1731917834129,-2.765,-7.532,-6.570
Accel,711624,171744727,1731917834138,1731917834139,-3.236,-7.257,-6.580
Accel,711625,171754597,1731917834148,1731917834148,-3.609,-6.904,-6.433
Accel,711626,171764467,1731917834158,1731917834158,-3.766,-6.669,-6.139
Accel,711627,171774337,1731917834168,1731917834168,-3.972,-6.472,-5.776
Accel,711628,171784207,1731917834178,1731917834178,-4.403,-6.159,-5.580
Accel,711629,171794079,1731917834188,1731917834188,-4.629,-6.051,-5.472
Accel,711630,171803949,1731917834197,1731917834198,-4.354,-6.306,-5.207
Accel,711631,171813821,1731917834207,1731917834207,-4.266,-5.913,-5.119
Accel,711632,171823691,1731917834217,1731917834217,-4.286,-5.992,-4.992
Accel,711633,171833563,1731917834227,1731917834227,-4.266,-6.315,-5.080
Accel,711634,171843433,1731917834237,1731917834237,-4.472,-5.992,-5.119
Accel,711635,171853305,1731917834247,1731917834247,-4.472,-7.443,-5.021
Accel,711636,171863175,1731917834257,1731917834257,-4.786,-7.836,-5.757
Accel,711637,171873047,1731917834267,1731917834267,-5.217,-7.169,-6.306
Accel,711638,171882919,1731917834277,1731917834277,-4.903,-7.855,-6.208
Accel,711639,171892789,1731917834286,1731917834287,-4.717,-7.943,-6.345
Accel,711640,171902661,1731917834297,1731917834297,-5.217,-7.708,-6.492
Accel,711641,171912533,1731917834307,1731917834307,-5.845,-7.718,-6.757
Accel,711642,171922405,1731917834316,1731917834316,-6.306,-8.130,-7.247
Accel,711643,171932277,1731917834326,1731917834327,-6.168,-8.787,-7.845
Accel,711644,171942149,1731917834336,1731917834336,-5.766,-9.561,-8.306
Accel,711645,171952019,1731917834346,1731917834346,-5.482,-9.836,-8.296
Accel,711646,171961889,1731917834355,1731917834356,-5.403,-9.630,-8.120
Accel,711647,171971761,1731917834365,1731917834366,-5.403,-9.493,-7.845
Accel,711648,171981631,1731917834376,1731917834376,-5.217,-9.522,-7.453
Accel,711649,171991503,1731917834385,1731917834385,-4.982,-9.571,-6.904
Accel,711650,172001373,1731917834395,1731917834395,-5.256,-9.444,-6.168
Accel,711651,172011243,1731917834405,1731917834405,-5.158,-9.071,-5.629
Accel,711652,172021113,1731917834415,1731917834415,-4.236,-9.091,-5.354
