Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,729165,344895221,1731918007274,1731918007274,-1.167,-9.110,1.481
Accel,729166,344905093,1731918007284,1731918007284,-1.167,-9.091,1.500
Accel,729167,344914965,1731918007293,1731918007293,-0.990,-9.257,1.569
Accel,729168,344924837,1731918007303,1731918007303,-0.912,-9.365,1.648
Accel,729169,344934709,1731918007313,1731918007313,-0.922,-9.336,1.687
Accel,729170,344944579,1731918007323,1731918007323,-0.922,-9.336,1.834
Accel,729171,344954451,1731918007333,1731918007333,-0.883,-9.395,2.020
Accel,729172,344964323,1731918007343,1731918007343,-0.834,-9.532,2.216
Accel,729173,344974195,1731918007353,1731918007353,-0.765,-9.591,2.432
Accel,729174,344984069,1731918007362,1731918007363,-0.696,-9.454,2.589
Accel,729175,344993941,1731918007372,1731918007372,-0.667,-9.434,2.716
Accel,729176,345003813,1731918007382,1731918007382,-0.598,-9.395,2.815
Accel,729177,345013685,1731918007392,1731918007392,-0.471,-9.395,2.873
Accel,729178,345023557,1731918007402,1731918007402,-0.314,-9.522,2.942
Accel,729179,345033427,1731918007412,1731918007412,-0.186,-9.650,2.942
Accel,729180,345043299,1731918007422,1731918007422,-0.127,-9.718,2.903
Accel,729229,345526991,1731918007905,1731918007905,2.716,-15.495,0.039
Accel,729230,345536863,1731918007915,1731918007916,3.305,-15.465,0.735
Accel,729231,345546733,1731918007925,1731918007925,3.079,-15.495,0.275
Accel,729232,345556605,1731918007935,1731918007936,2.609,-15.269,-1.569
Accel,729233,345566477,1731918007945,1731918007945,2.040,-15.946,-1.775
Accel,729234,345576347,1731918007955,1731918007955,2.334,-16.161,-1.991
Accel,729235,345586217,1731918007965,1731918007965,2.452,-15.769,-1.952
Accel,729236,345596089,1731918007975,1731918007975,2.393,-15.141,-1.451
Accel,729237,345605959,1731918007984,1731918007985,2.452,-14.612,-1.089
Accel,729238,345615831,1731918007994,1731918007994,2.059,-14.171,-1.255
Accel,729239,345625703,1731918008004,1731918008004,1.451,-13.867,-1.765
Accel,729240,345635573,1731918008014,1731918008014,1.020,-13.612,-2.334
Accel,729241,345645445,1731918008024,1731918008024,0.510,-13.337,-2.511
Accel,729242,345655317,1731918008034,1731918008034,0.706,-13.190,-2.148
Accel,729243,345665187,1731918008044,1731918008044,1.265,-13.043,-1.285
Accel,729244,345675059,1731918008053,1731918008053,1.520,-12.641,-0.657
Accel,729245,345684931,1731918008063,1731918008064,1.549,-12.670,-0.579
Accel,729246,345694801,1731918008073,1731918008073,1.559,-12.886,-0.853
Accel,729247,345704673,1731918008083,1731918008083,1.344,-13.023,-1.226
Accel,729248,345714543,1731918008093,1731918008093,1.157,-13.396,-1.520
Accel,729249,345724415,1731918008103,1731918008103,1.177,-13.710,-1.746
Accel,729250,345734285,1731918008113,1731918008113,1.138,-13.769,-1.755
Accel,729251,345744155,1731918008123,1731918008123,1.206,-13.769,-1.520
Accel,729252,345754027,1731918008133,1731918008133,1.422,-13.896,-1.844
Accel,729253,345763897,1731918008142,1731918008143,1.324,-14.063,-2.403
Accel,729254,345773769,1731918008153,1731918008153,0.990,-14.171,-2.697
Accel,729255,345783641,1731918008162,1731918008162,0.951,-14.367,-2.922
Accel,729256,345793511,1731918008172,1731918008172,0.912,-14.916,-3.040
Accel,729257,345803383,1731918008182,1731918008182,0.765,-15.240,-3.040
Accel,729258,345813255,1731918008192,1731918008192,0.363,-15.544,-2.991
Accel,729259,345823127,1731918008202,1731918008202,0.078,-15.749,-3.079
Accel,729260,345832999,1731918008212,1731918008212,-0.029,-15.995,-3.236
Accel,729261,345842869,1731918008222,1731918008222,-0.235,-15.622,-3.560
Accel,729262,345852741,1731918008231,1731918008231,-0.853,-14.994,-3.805
Accel,729263,345862611,1731918008241,1731918008241,-1.765,-14.288,-4.060
