Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,753216,582292341,1731918244650,1731918244650,1.059,-8.944,3.609
Accel,753217,582302213,1731918244660,1731918244660,1.020,-9.395,3.305
Accel,753218,582312085,1731918244670,1731918244670,0.961,-9.483,3.011
Accel,753219,582321955,1731918244680,1731918244680,0.902,-9.424,2.903
Accel,753220,582331827,1731918244690,1731918244690,0.775,-9.267,2.873
Accel,753221,582341697,1731918244699,1731918244699,0.765,-8.973,2.873
Accel,753222,582351569,1731918244709,1731918244710,0.745,-8.610,2.922
Accel,753223,582361439,1731918244719,1731918244719,0.775,-8.473,2.854
Accel,753224,582371311,1731918244729,1731918244729,0.883,-8.424,2.628
Accel,753225,582381181,1731918244739,1731918244739,1.089,-8.453,2.412
Accel,753226,582391053,1731918244749,1731918244749,1.245,-8.571,2.295
Accel,753227,582400923,1731918244759,1731918244759,1.314,-8.483,2.050
Accel,753228,582410795,1731918244768,1731918244768,1.344,-8.208,1.863
Accel,753229,582420667,1731918244778,1731918244778,1.471,-7.904,1.755
Accel,753230,582430539,1731918244788,1731918244788,1.598,-7.482,1.628
Accel,753231,582440409,1731918244798,1731918244798,1.765,-6.943,1.500
Accel,753284,582963593,1731918245321,1731918245321,0.402,-14.092,-2.834
Accel,753285,582973465,1731918245331,1731918245331,0.333,-13.219,-2.393
Accel,753286,582983335,1731918245341,1731918245341,0.343,-12.768,-1.775
Accel,753287,582993207,1731918245351,1731918245351,0.471,-12.866,-1.285
Accel,753288,583003077,1731918245360,1731918245361,0.726,-12.837,-0.912
Accel,753289,583012949,1731918245371,1731918245371,0.883,-12.886,-0.471
Accel,753290,583022819,1731918245380,1731918245380,1.138,-13.190,0.000
Accel,753291,583032691,1731918245390,1731918245390,1.334,-13.514,0.363
Accel,753292,583042563,1731918245400,1731918245400,1.206,-13.396,0.530
Accel,753293,583052435,1731918245410,1731918245410,0.775,-12.915,0.804
Accel,753294,583062307,1731918245420,1731918245420,0.167,-12.347,1.206
Accel,753295,583072177,1731918245430,1731918245430,-0.284,-11.640,1.589
Accel,753296,583082049,1731918245440,1731918245440,-0.471,-10.866,1.952
Accel,753297,583091921,1731918245450,1731918245450,-0.510,-10.219,2.148
Accel,753298,583101791,1731918245459,1731918245460,-0.981,-9.758,2.295
Accel,753299,583111663,1731918245470,1731918245470,-1.804,-9.522,2.354
Accel,753300,583121533,1731918245479,1731918245480,-2.393,-9.110,2.177
Accel,753301,583131405,1731918245489,1731918245489,-2.697,-8.434,1.814
Accel,753302,583141275,1731918245499,1731918245499,-2.765,-7.845,1.608
Accel,753303,583151147,1731918245509,1731918245509,-2.697,-7.277,1.422
