epoch,loss
1,1.2372
2,1.2175
3,1.2427
4,1.2013
5,1.168
6,1.1624
7,1.1663
8,1.1586
9,1.162
10,1.1325
11,1.1256
12,1.1211
13,1.1117
14,1.0922
15,1.0975
16,1.0444
17,1.0537
18,1.072
19,1.055
20,1.0691
21,1.0141
22,1.0734
23,1.0087
24,1.0548
25,1.0215
26,1.0365
27,0.9957
28,0.9981
29,1.0178
30,0.9898
31,0.9762
32,1.0038
33,0.9874
34,0.9897
35,0.9737
36,0.9278
37,0.9821
38,0.919
39,0.9432
40,0.9751
41,0.9442
42,0.9507
43,0.9039
44,0.966
45,0.9687
46,0.9214
47,0.943
48,0.9404
49,0.9203
50,0.837
51,0.8893
52,0.9202
53,0.9012
54,0.9309
55,0.9092
56,0.8892
57,0.8927
58,0.9164
59,0.8833
60,0.9077
61,0.8539
62,0.8813
63,0.8906
64,0.8732
65,0.874
66,0.86
67,0.869
68,0.8534
69,0.8517
70,0.8826
71,0.8419
72,0.8631
73,0.8471
74,0.8298
75,0.8288
76,0.8547
77,0.86
78,0.8259
79,0.847
80,0.8363
81,0.8291
82,0.8401
83,0.8189
84,0.8436
85,0.8304
86,0.8161
87,0.8402
88,0.8207
89,0.8331
90,0.8454
91,0.829
92,0.8275
93,0.8176
94,0.8166
95,0.8281
96,0.8254
97,0.8281
98,0.8105
99,0.804
100,0.8154
101,0.8014
102,0.7971
103,0.7899
104,0.8164
105,0.8247
106,0.8033
107,0.8034
108,0.7928
109,0.8009
110,0.8034
111,0.8124
112,0.7949
113,0.816
114,0.793
115,0.7907
116,0.7943
117,0.8213
118,0.8185
119,0.7819
120,0.7845
121,0.795
122,0.8058
123,0.8056
124,0.7943
125,0.8019
126,0.7923
127,0.7919
128,0.8001
129,0.7889
130,0.7727
131,0.7744
132,0.8004
133,0.809
134,0.8188
135,0.8157
136,0.7951
137,0.785
138,0.7824
139,0.7697
140,0.7985
141,0.7976
142,0.7969
143,0.7976
144,0.7971
145,0.7946
146,0.8069
147,0.7997
148,0.793
149,0.7736
150,0.8164
151,0.776
152,0.7523
153,0.7996
154,0.7811
155,0.7821
156,0.7791
157,0.7765
158,0.7917
159,0.8015
160,0.7944
161,0.8034
162,0.7833
163,0.7743
164,0.765
165,0.7784
166,0.7542
167,0.7756
168,0.7912
169,0.7685
170,0.7665
171,0.7827
172,0.7677
173,0.7773
174,0.7891
175,0.783
176,0.795
177,0.7699
178,0.8053
179,0.8074
180,0.7832
181,0.7681
182,0.7754
183,0.7768
184,0.7524
185,0.7818
186,0.7788
187,0.7629
188,0.7828
189,0.7743
190,0.7667
191,0.7754
192,0.7415
193,0.7707
194,0.7612
195,0.7608
196,0.7774
197,0.7834
198,0.7528
199,0.7812
200,0.7548
201,0.7718
202,0.7429
203,0.7866
204,0.7763
205,0.7761
206,0.7726
207,0.7782
208,0.7564
209,0.7864
210,0.7716
211,0.7655
212,0.7961
213,0.7657
214,0.7713
215,0.7577
216,0.7814
217,0.7588
218,0.7866
219,0.7483
220,0.7852
221,0.7632
222,0.7786
223,0.7873
224,0.751
225,0.7796
226,0.7844
227,0.7493
228,0.7794
229,0.7611
230,0.769
231,0.7692
232,0.7704
233,0.7862
234,0.7572
235,0.7449
236,0.7325
237,0.7682
238,0.7659
239,0.7512
240,0.7698
241,0.7411
242,0.7758
243,0.7569
244,0.7831
245,0.7661
246,0.7573
247,0.7564
248,0.7615
249,0.7805
250,0.7655
251,0.7605
252,0.7549
253,0.749
254,0.7444
255,0.7623
256,0.7606
257,0.7554
258,0.7557
259,0.7581
260,0.768
261,0.7863
262,0.7495
263,0.7907
264,0.7547
265,0.7576
266,0.7629
267,0.7648
268,0.7513
269,0.7478
270,0.7619
271,0.7398
272,0.7482
273,0.7553
274,0.7703
275,0.7584
276,0.779
277,0.771
278,0.7792
279,0.7743
280,0.7913
281,0.7651
282,0.7598
283,0.7848
284,0.7708
285,0.7789
286,0.7573
287,0.7604
288,0.7593
289,0.7628
290,0.7497
291,0.7851
292,0.7647
293,0.7801
294,0.7621
295,0.7697
296,0.7439
297,0.746
298,0.7547
299,0.7684
300,0.7753
301,0.7363
302,0.7286
303,0.7375
304,0.7633
305,0.7405
306,0.7405
307,0.7489
308,0.7729
309,0.7454
310,0.7602
311,0.7461
312,0.7402
313,0.742
314,0.7692
315,0.762
316,0.766
317,0.7777
318,0.758
319,0.7617
320,0.7614
321,0.7842
322,0.7766
323,0.7712
324,0.741
325,0.7424
326,0.769
327,0.7671
328,0.7379
329,0.7453
330,0.7585
331,0.751
332,0.7707
333,0.7396
334,0.7583
335,0.7847
336,0.7405
337,0.7528
338,0.7716
339,0.7549
340,0.7516
341,0.7426
342,0.7566
343,0.7548
344,0.7528
345,0.7534
346,0.7572
347,0.7456
348,0.7618
349,0.7653
350,0.7926
351,0.7569
352,0.763
353,0.7337
354,0.7721
355,0.7757
