word_len,word,num_samples,response_text
3,man,2,man
3,man,3,man
3,man,4,man
3,man,5,man
3,fun,2,fun
3,fun,3,fun
3,fun,4,fun
3,fun,5,fun
3,bed,2,bed
3,bed,3,bed
3,bed,4,bed
3,bed,5,bed
3,fee,2,fee
3,fee,3,fee
3,fee,4,fee
3,fee,5,fe
3,mix,2,mie
3,mix,3,mix
3,mix,4,mie
3,mix,5,mie
3,tea,2,tea
3,tea,3,tea
3,tea,4,tea
3,tea,5,tea
3,gas,2,gas
3,gas,3,gas
3,gas,4,gas
3,gas,5,gas
3,war,2,war
3,war,3,war
3,war,4,war
3,war,5,war
3,son,2,son
3,son,3,son
3,son,4,sin
3,son,5,sin
3,ask,2,ask
3,ask,3,ask
3,ask,4,ask
3,ask,5,ask
3,lip,2,lip
3,lip,3,lip
3,lip,4,lip
3,lip,5,lip
3,fly,2,fly
3,fly,3,fly
3,fly,4,fly
3,fly,5,fly
3,mud,2,mud
3,mud,3,mud
3,mud,4,mud
3,mud,5,mud
3,art,2,art
3,art,3,art
3,art,4,art
3,art,5,art
3,cap,2,cap
3,cap,3,cap
3,cap,4,cap
3,cap,5,cap
3,god,2,god
3,god,3,god
3,god,4,god
3,god,5,god
3,let,2,let
3,let,3,let
3,let,4,let
3,let,5,let
3,bid,2,bid
3,bid,3,aid
3,bid,4,bid
3,bid,5,bid
3,sea,2,sea
3,sea,3,sea
3,sea,4,sea
3,sea,5,sea
3,buy,2,buy
3,buy,3,bue
3,buy,4,buy
3,buy,5,buy
3,ear,2,ear
3,ear,3,ear
3,ear,4,far
3,ear,5,ear
3,dot,2,dot
3,dot,3,dot
3,dot,4,dot
3,dot,5,dot
3,try,2,try
3,try,3,try.
3,try,4,try
3,try,5,try
3,map,2,map
3,map,3,map
3,map,4,map
3,map,5,map
3,top,2,tip
3,top,3,top
3,top,4,top
3,top,5,top
3,run,2,run
3,run,3,run
3,run,4,run
3,run,5,run
3,bag,2,bag
3,bag,3,bag
3,bag,4,bag
3,bag,5,bag
3,net,2,net
3,net,3,net
3,net,4,net
3,net,5,net
3,tap,2,tap
3,tap,3,tap
3,tap,4,tap
3,tap,5,tap
3,set,2,set
3,set,3,set
3,set,4,set
3,set,5,set
3,kid,2,kid
3,kid,3,kid
3,kid,4,kid
3,kid,5,kid
3,bet,2,bet
3,bet,3,bet
3,bet,4,bet
3,bet,5,bet
3,pin,2,pin
3,pin,3,pin
3,pin,4,pin
3,pin,5,pin
3,bar,2,bar
3,bar,3,bar
3,bar,4,bar
3,bar,5,bar
3,cup,2,cup
3,cup,3,cup
3,cup,4,cup
3,cup,5,cup
3,web,2,web
3,web,3,web
3,web,4,web
3,web,5,web
3,pop,2,po
3,pop,3,po
3,pop,4,po
3,pop,5,po
3,age,2,cog
3,age,3,age
3,age,4,age
3,age,5,age
3,cat,2,cat
3,cat,3,cat
3,cat,4,cat
3,cat,5,cat
3,bug,2,bug
3,bug,3,bug
3,bug,4,bug
3,bug,5,bug
3,leg,2,leg
3,leg,3,leg
3,leg,4,leg
3,leg,5,leg
3,log,2,log
3,log,3,log
3,log,4,log
3,log,5,log
3,mom,2,mo
3,mom,3,mo
3,mom,4,mo
3,mom,5,mo
3,car,2,car
3,car,3,car
3,car,4,car
3,car,5,car
3,fix,2,fio
3,fix,3,fie
3,fix,4,fig
3,fix,5,fish
3,boy,2,boe
3,boy,3,boy
3,boy,4,boy
3,boy,5,boy
3,tie,2,tie
3,tie,3,tie
3,tie,4,tie
3,tie,5,tie
3,bad,2,bad
3,bad,3,bad
3,bad,4,bad
3,bad,5,bad
3,end,2,end
3,end,3,end
3,end,4,end
3,end,5,end
3,due,2,due
3,due,3,due
3,due,4,due
3,due,5,due
3,egg,2,there is no common english noun that is two letters long with the letters 'e' and 'g' in that specific order.
3,egg,3,eg
3,egg,4,no valid english noun fits the given constraints.
3,egg,5,egg
3,put,2,put
3,put,3,put
3,put,4,put
3,put,5,put
3,raw,2,raw
3,raw,3,raw
3,raw,4,raw
3,raw,5,raw
3,cut,2,cut
3,cut,3,cut
3,cut,4,cut
3,cut,5,cut
3,cow,2,cow
3,cow,3,cow
3,cow,4,cow
3,cow,5,cow
3,tip,2,tip
3,tip,3,tip
3,tip,4,tip
3,tip,5,tip
3,big,2,big
3,big,3,big
3,big,4,big
3,big,5,bag
3,job,2,job
3,job,3,job
3,job,4,job
3,job,5,job
3,lie,2,lie
3,lie,3,lie
3,lie,4,lie
3,lie,5,lie
3,can,2,czn
3,can,3,can
3,can,4,can
3,can,5,can
3,she,2,she
3,she,3,she
3,she,4,she
3,she,5,she
3,use,2,use
3,use,3,use
3,use,4,use
3,use,5,use
3,sex,2,see
3,sex,3,she
3,sex,4,see
3,sex,5,see
3,dig,2,dig
3,dig,3,dig
3,dig,4,dig
3,dig,5,dig
3,oil,2,oil
3,oil,3,oil
3,oil,4,oil
3,oil,5,oil
3,pot,2,pot
3,pot,3,pot
3,pot,4,pot
3,pot,5,pit
3,sun,2,sun
3,sun,3,sun
3,sun,4,sun
3,sun,5,sun
3,hit,2,hit
3,hit,3,hit
3,hit,4,hit
3,hit,5,hit
3,cry,2,crow
3,cry,3,cro
3,cry,4,cry
3,cry,5,cry
3,lay,2,lay
3,lay,3,lay
3,lay,4,lay
3,lay,5,lay
3,pie,2,pie
3,pie,3,pie
3,pie,4,pie
3,pie,5,pie
3,day,2,doe
3,day,3,day
3,day,4,day
3,day,5,day
3,fan,2,fan
3,fan,3,fan
3,fan,4,fan
3,fan,5,fan
3,rip,2,rip
3,rip,3,rip
3,rip,4,lip
3,rip,5,rip
3,key,2,key
3,key,3,key
3,key,4,key
3,key,5,key
3,eat,2,fat
3,eat,3,fat
3,eat,4,eat
3,eat,5,eat
3,you,2,you.
3,you,3,you.
3,you,4,you
3,you,5,you
3,sky,2,sky
3,sky,3,sky
3,sky,4,sky
3,sky,5,sky
3,way,2,wax
3,way,3,wax
3,way,4,wax
3,way,5,wax
3,guy,2,gue
3,guy,3,guy
3,guy,4,guy
3,guy,5,guy
3,row,2,row
3,row,3,row
3,row,4,row
3,row,5,row
3,rub,2,rub
3,rub,3,rub
3,rub,4,rub
3,rub,5,rub
3,gap,2,gap
3,gap,3,gap
3,gap,4,gap
3,gap,5,gap
3,fat,2,fat
3,fat,3,fat
3,fat,4,fat
3,fat,5,fat
3,pen,2,pen
3,pen,3,pen
3,pen,4,pen
3,pen,5,pen
3,toe,2,toe
3,toe,3,tie
3,toe,4,toe
3,toe,5,tie
3,bit,2,bit
3,bit,3,bit
3,bit,4,bit
3,bit,5,bit
3,low,2,low
3,low,3,low
3,low,4,low
3,low,5,low
3,red,2,red
3,red,3,red
3,red,4,red
3,red,5,red
3,box,2,bee
3,box,3,boo
3,box,4,boy
3,box,5,boa
3,sad,2,sad
3,sad,3,sad
3,sad,4,sad
3,sad,5,sad
3,bat,2,bat
3,bat,3,bat
3,bat,4,bat
3,bat,5,bat
3,tax,2,tea
3,tax,3,tax
3,tax,4,tax
3,tax,5,tas
3,pay,2,pay
3,pay,3,pay
3,pay,4,pay
3,pay,5,pay
3,few,2,few
3,few,3,few
3,few,4,few
3,few,5,few
3,bus,2,bus
3,bus,3,bus
3,bus,4,bus
3,bus,5,bus
3,win,2,win
3,win,3,win
3,win,4,win
3,win,5,win
3,act,2,act
3,act,3,act
3,act,4,act
3,act,5,act
3,hat,2,hat
3,hat,3,hat
3,hat,4,hat
3,hat,5,cat
3,sir,2,sir
3,sir,3,sir
3,sir,4,sir
3,sir,5,sir
3,ice,2,ice
3,ice,3,ice
3,ice,4,ice
3,ice,5,ice
3,dog,2,dog
3,dog,3,dog
3,dog,4,dog
3,dog,5,dog
3,eye,2,ey
3,eye,3,ee
